card_name,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_resources,weighted_avg_score,win_rate,cn_name,cn_name_plot
Social Events,211,98,1.9099526066350712,104.27014218009478,403.0,211,0.0,1.983402489626556,46.45,社交活动,社交活动
City Parks,423,171,2.00709219858156,91.49172576832152,849.0,423,0.0,2.0397350993377485,40.43,城市公园,城市公园
Diversity Support,438,181,2.0342465753424657,97.82648401826484,891.0,438,0.0,2.0641025641025643,41.32,多样性扶持,多样性扶持
GHG Shipment,364,158,2.0384615384615383,88.82417582417582,742.0,364,0.0,2.0736040609137056,43.41,温室气体运输,温室气体运输
Urgent Terraforming Command,684,263,2.057017543859649,89.80409356725146,1407.0,684,0.0,2.0756302521008405,38.45,紧急改造令,紧急改造令
Robot Pollinators,739,290,2.0757780784844386,91.28146143437077,1534.0,739,0.0,2.092327698309493,39.24,机器授粉者,机器授粉者
City Park,386,148,2.064766839378238,98.89896373056995,797.0,386,0.0,2.0961538461538463,38.34,City Park,City Park
Lake Marineris,390,137,2.076923076923077,90.88205128205128,810.0,390,0.0,2.107142857142857,35.13,水手湖,水手湖
Ecology Research,714,266,2.092436974789916,94.55882352941177,1494.0,714,0.0,2.1088709677419355,37.25,生态学研究,生态学研究
Insects,853,299,2.0961313012895664,90.86283704572098,1788.0,853,0.0,2.1098527746319364,35.05,昆虫,昆虫
奇物丰收,279,107,2.075268817204301,91.39426523297492,579.0,279,0.0,2.116504854368932,38.35,奇物丰收,奇物丰收
Aerosport Tournament,621,237,2.101449275362319,95.29790660225443,1305.0,621,0.0,2.119815668202765,38.16,航空运动锦标赛,航空运动锦标赛
Terraforming Ganymede,1076,408,2.112453531598513,95.182156133829,2273.0,1076,0.0,2.122965641952984,37.92,改造木卫三,改造木卫三
Designed Organisms,1116,412,2.118279569892473,92.69802867383513,2364.0,1116,0.0,2.1282722513089007,36.92,生物体设计,生物体设计
Soil Enrichment,1261,466,2.1245043616177637,88.90087232355273,2679.0,1261,0.0,2.1332300542215337,36.95,土壤改良,土壤改良
Forest Moon (VI),292,107,2.1027397260273974,90.90753424657534,614.0,292,0.0,2.139751552795031,36.64,Forest Moon (VI),Forest Moon (VI)
Magnetic Field Generators:ares,437,172,2.116704805491991,94.99313501144165,925.0,437,0.0,2.1413276231263385,39.36,Magnetic Field Generators:ares,Magnetic Field Generators:ares
Freyja Biodomes,947,335,2.1319957761351636,94.38753959873284,2019.0,947,0.0,2.143295803480041,35.37,弗雷雅生态馆,弗雷雅生态馆
Imported Nitrogen,1374,515,2.1404657933042213,90.69359534206696,2941.0,1374,0.0,2.1481481481481484,37.48,引入氮气,引入氮气
Eglogue,104,37,2.048076923076923,72.50961538461539,213.0,104,0.0,2.1492537313432836,35.58,Eglogue,Eglogue
Venus Soils,409,150,2.1246943765281174,93.56479217603912,869.0,409,0.0,2.150341685649203,36.67,金星土壤,金星土壤
Clone Technology,933,343,2.1414790996784565,91.43622722400858,1998.0,933,0.0,2.1526479750778815,36.76,克隆科技,克隆科技
Venera Base,886,319,2.1433408577878104,91.51467268623024,1899.0,886,0.0,2.1550218340611353,36.0,金星基地,金星基地
Crashlanding,157,58,2.089171974522293,91.89171974522293,328.0,157,0.0,2.1550802139037435,36.94,紧急迫降,紧急迫降
Maxwell Base,896,326,2.1439732142857144,94.76785714285714,1921.0,896,0.0,2.1555075593952484,36.38,麦克斯韦基地,麦克斯韦基地
Ecological Zone:ares,1444,521,2.153047091412742,89.35110803324099,3109.0,1444,7.8310249307479225,2.1601085481682496,36.08,Ecological Zone:ares,Ecological Zone:ares
Herbivores,528,193,2.1420454545454546,88.875,1131.0,528,5.568181818181818,2.161290322580645,36.55,食草动物,食草动物
Tundra Farming,716,254,2.14804469273743,91.85474860335195,1538.0,716,0.0,2.1621983914209117,35.47,冻原农耕,冻原农耕
Harvest,1311,454,2.154843630816171,88.80549199084668,2825.0,1311,0.0,2.162565249813572,34.63,丰收,丰收
Worms,717,263,2.1492329149232914,88.52440725244072,1541.0,717,0.0,2.1633199464524764,36.68,蠕虫,蠕虫
Large Ecological Reserve,904,322,2.1537610619469025,89.76991150442478,1947.0,904,0.0,2.164882226980728,35.62,大型生态保护区,大型生态保护区
Ocean Sanctuary,1464,531,2.1598360655737703,89.24658469945355,3162.0,1464,4.975409836065574,2.1666666666666665,36.27,海豚,海豚
Venusian Plants,878,310,2.156036446469248,93.04897494305239,1893.0,878,0.0,2.1674008810572687,35.31,金星植物,金星植物
Mangrove,1241,429,2.161966156325544,88.94681708299758,2683.0,1241,0.0,2.169944925255704,34.57,红树林,红树林
Nitrogen-Rich Asteroid,664,245,2.1551204819277108,91.54668674698796,1431.0,664,0.0,2.170028818443804,36.9,富氮小行星,富氮小行星
Open City,822,288,2.1581508515815084,90.35036496350365,1774.0,822,0.0,2.17018779342723,35.04,开放的城市,开放的城市
Frontier Town,1031,365,2.161008729388943,87.59068865179438,2228.0,1031,0.0,2.170593779453346,35.4,边疆小镇,边疆小镇
Eos Chasma National Park,1156,407,2.163494809688581,89.68858131487889,2501.0,1156,0.0,2.1720067453625633,35.21,Eos 峡谷国家公园,Eos 峡谷国家公园
Nanofoundry,520,189,2.1538461538461537,94.40192307692308,1120.0,520,0.0,2.172727272727273,36.35,纳米铸造厂,纳米铸造厂
Martian Lumber Corp,964,340,2.162863070539419,88.55290456431536,2085.0,964,0.0,2.1730382293762576,35.27,火星木材公司,火星木材公司
Anti-Gravity Technology,1384,523,2.1661849710982657,93.43280346820809,2998.0,1384,0.0,2.1732673267326734,37.79,反重力科技,反重力科技
Floating Refinery,1511,560,2.170086035737922,89.07412309728656,3279.0,1511,2.098610191925877,2.176508760545101,37.06,漂浮精炼厂,漂浮精炼厂
Martian Express,474,166,2.1561181434599157,89.72151898734177,1022.0,474,0.34177215189873417,2.1765873015873014,35.02,火星特快,火星特快
Kaguya Tech,1319,473,2.1705837755875663,89.3699772554966,2863.0,1319,0.0,2.177909562638992,35.86,辉夜科技,辉夜科技
Metallic Asteroid,1479,524,2.1724137931034484,86.16430020283975,3213.0,1479,0.0,2.1789264413518885,35.43,金属陨石,金属陨石
Farming,769,255,2.1690507152145644,89.86605981794538,1668.0,769,0.0,2.181476846057572,33.16,农业,农业
Luxury Estate,1005,363,2.1731343283582087,91.00597014925373,2184.0,1005,0.0,2.1826086956521737,36.12,豪华别墅,豪华别墅
Soil Studies,1014,344,2.175542406311637,87.19723865877712,2206.0,1014,0.0,2.1848659003831417,33.93,土壤研究,土壤研究
Special Design,530,190,2.169811320754717,91.29245283018868,1150.0,530,0.0,2.1875,35.85,特别构思,特别构思
Greenhouses,1691,586,2.1827321111768185,87.95505617977528,3691.0,1691,0.0,2.188262638001162,34.65,温室,温室
Red Tourism Wave,794,285,2.177581863979849,88.48614609571788,1729.0,794,0.0,2.1893203883495147,35.89,红色旅游风潮,红色旅游风潮
Hydrogen to Venus,900,329,2.18,90.19888888888889,1962.0,900,0.0,2.1903225806451614,36.56,输送氢气到金星,输送氢气到金星
Capital:ares,825,285,2.1818181818181817,89.12727272727273,1800.0,825,0.0,2.192982456140351,34.55,Capital:ares,Capital:ares
Bactoviral Research,1354,481,2.1868537666174297,91.39217134416543,2961.0,1354,0.0,2.19364161849711,35.52,细菌病毒研究,细菌病毒研究
Venus Allies,1195,418,2.186610878661088,91.62845188284518,2613.0,1195,0.0,2.1942857142857144,34.98,金星盟友,金星盟友
Atmoscoop,1420,492,2.1894366197183097,89.30492957746479,3109.0,1420,0.0,2.1958620689655173,34.65,大气束缚场,大气束缚场
Bushes,872,309,2.1857798165137616,87.5756880733945,1906.0,872,0.0,2.196230598669623,35.44,花丛,花丛
Diaspora Movement,1105,393,2.1882352941176473,89.89954751131222,2418.0,1105,0.0,2.19647577092511,35.57,大流散运动,大流散运动
Cultivation of Venus,936,314,2.1891025641025643,90.75854700854701,2049.0,936,0.0,2.198757763975155,33.55,金星育种,金星育种
Public Spaceline,1158,419,2.1934369602763386,90.38169257340242,2540.0,1158,0.0,2.201178451178451,36.18,公共太空航线,公共太空航线
Deimos Down:ares,1163,406,2.1943250214961307,83.98194325021497,2552.0,1163,0.0,2.2020117351215425,34.91,Deimos Down:ares,Deimos Down:ares
Earth Catapult,1621,600,2.1967921036397287,89.76064157927206,3561.0,1621,0.0,2.2023016353725016,37.01,地球发射站,地球发射站
Ishtar Expedition,1691,600,2.1981076286221173,89.13187463039621,3717.0,1691,0.0,2.2033701336432308,35.48,伊什塔尔远征,伊什塔尔远征
Red City,555,200,2.1873873873873872,88.36396396396397,1214.0,555,0.0,2.2034188034188036,36.04,红城,红城
AntiGravity Experiment,1248,446,2.1963141025641026,92.49599358974359,2741.0,1248,0.0,2.2034428794992174,35.74,反重力先行试验,反重力先行试验
Ocean Farm,993,354,2.1953675730110773,87.59718026183283,2180.0,993,0.0,2.204301075268817,35.65,海洋农场,海洋农场
Trees,804,281,2.1940298507462686,89.1268656716418,1764.0,804,0.0,2.2050359712230216,34.95,树,树
Envoys From Venus,1025,366,2.1970731707317075,88.63121951219512,2252.0,1025,0.0,2.205687203791469,35.71,金星来使,金星来使
Large Convoy,1432,471,2.2004189944134076,90.64874301675978,3151.0,1432,0.0,2.20656634746922,32.89,大型护航队,大型护航队
Heather,851,274,2.199764982373678,87.25616921269095,1872.0,851,0.0,2.209988649262202,32.2,帚石楠,帚石楠
Venus Magnetizer,614,209,2.198697068403909,89.40228013029316,1350.0,614,0.0,2.2127329192546585,34.04,金星磁化器,金星磁化器
Lunar Embassy,1004,361,2.204183266932271,89.7410358565737,2213.0,1004,0.0,2.2127659574468086,35.96,月球大使馆,月球大使馆
Hay Maker,761,252,2.202365308804205,82.77792378449409,1676.0,761,0.0,2.213653603034134,33.11,炎拳,炎拳
Floater-Urbanism,820,297,2.203658536585366,90.8719512195122,1807.0,820,3.542682926829268,2.2141176470588237,36.22,施韦伯城市规划,施韦伯城市规划
Imported Nutrients,1469,499,2.208304969366916,87.96119809394146,3244.0,1469,0.0,2.2141427618412273,33.97,营养物输入,营养物输入
Local Heat Trapping,1030,340,2.2058252427184466,87.52427184466019,2272.0,1030,0.0,2.2141509433962265,33.01,本地的热量陷阱,本地的热量陷阱
Sub-zero Salt Fish,548,186,2.198905109489051,91.11861313868613,1205.0,548,2.1423357664233578,2.2145328719723185,33.94,零下咸鱼,零下咸鱼
Gyropolis,737,253,2.203527815468114,92.6010854816825,1624.0,737,0.0,2.2151238591916558,34.33,旋转都会,旋转都会
Cyanobacteria,1214,416,2.2084019769357495,88.62602965403624,2681.0,1214,0.0,2.215434083601286,34.27,蓝藻菌,蓝藻菌
Soil Detoxification,1019,347,2.2070657507360156,85.89303238469087,2249.0,1019,0.0,2.215443279313632,34.05,土壤净化,土壤净化
Venusian Animals,1589,555,2.2120830711139083,91.49465072372561,3515.0,1589,9.30396475770925,2.2174181593576283,34.93,金星动物,金星动物
Mass Converter,1417,516,2.211714890613973,90.43895553987296,3134.0,1417,0.0,2.2176917760884587,36.41,质能转换器,质能转换器
Ocean City,1208,398,2.2110927152317883,88.79221854304636,2671.0,1208,0.0,2.2180936995153475,32.95,海洋城市,海洋城市
Takonda Castle (VII),862,283,2.2088167053364267,86.72041763341068,1904.0,862,0.0,2.218609865470852,32.83,Takonda Castle (VII),Takonda Castle (VII)
Advanced Ecosystems,1321,449,2.2127176381529146,90.11430734292203,2923.0,1321,0.0,2.2190969652109547,33.99,先进的生态系统,先进的生态系统
Ganymede Colony,1431,488,2.2138364779874213,90.71767994409504,3168.0,1431,0.0,2.2197125256673513,34.1,木卫三殖民地,木卫三殖民地
Martian Nature Wonders,946,318,2.211416490486258,90.223044397463,2092.0,946,0.0,2.2202868852459017,33.62,火星自然遗产,火星自然遗产
Crash Site Cleanup,950,319,2.2136842105263157,89.11263157894737,2103.0,950,0.0,2.2224489795918365,33.58,陨石坑清洁,陨石坑清洁
Meat Industry,1479,530,2.2170385395537524,90.25557809330628,3279.0,1479,0.0,2.2226640159045727,35.84,肉类工业,肉类工业
Magnetic Shield,741,267,2.211875843454791,93.56680161943319,1639.0,741,0.0,2.223086900129702,36.03,磁屏,磁屏
Small Animals,642,217,2.210280373831776,88.28816199376946,1419.0,642,2.9018691588785046,2.2232142857142856,33.8,小动物,小动物
Venus Shuttles,919,331,2.2143634385201305,89.7442872687704,2035.0,919,0.0,2.2233930453108535,36.02,金星穿梭机,金星穿梭机
Bio-Fertilizer Facility,1518,511,2.218050065876153,86.38076416337286,3367.0,1518,0.0,2.2235142118863047,33.66,肥料工厂,肥料工厂
Aqueduct Systems,1192,421,2.2181208053691277,89.44379194630872,2644.0,1192,0.0,2.2250409165302782,35.32,导水系统,导水系统
Impactor Swarm,755,257,2.214569536423841,89.45562913907285,1672.0,755,0.0,2.2254777070063696,34.04,冲击虫群,冲击虫群
Controlled Bloom,1343,461,2.220402084884587,87.11317944899479,2982.0,1343,0.0,2.2265112891478513,34.33,爆破控制,爆破控制
Restricted Area,142,53,2.1690140845070425,88.67605633802818,308.0,142,0.0,2.2267441860465116,37.32,管制区,管制区
Martian Culture,528,188,2.212121212121212,92.88068181818181,1168.0,528,4.625,2.227598566308244,35.61,火星文化,火星文化
Space Wargames,921,325,2.222584147665581,90.74592833876221,2047.0,921,0.2768729641693811,2.231335436382755,35.29,太空战争游戏,太空战争游戏
Breeding Farms,578,200,2.2197231833910034,91.50519031141869,1283.0,578,0.0,2.2335526315789473,34.6,养殖农场,养殖农场
Venus Governor,1506,533,2.2284196547144752,88.12549800796813,3356.0,1506,0.0,2.2337239583333335,35.39,金星总督,金星总督
Urban Decomposers,825,276,2.224242424242424,91.06545454545454,1835.0,825,0.0,2.2339181286549707,33.45,都市分解者,都市分解者
Birds,730,250,2.223287671232877,89.88356164383562,1623.0,730,2.6780821917808217,2.2342105263157896,34.25,鸟,鸟
Asteroid Resources,857,283,2.2252042007001167,86.9708284714119,1907.0,857,0.0,2.234498308906426,33.02,小行星资源,小行星资源
Molecular Printing,1655,559,2.230211480362538,87.62356495468278,3691.0,1655,0.0,2.2350148367952523,33.78,分子打印,分子打印
Fish,818,271,2.226161369193154,89.30073349633251,1821.0,818,2.5684596577017116,2.2358490566037736,33.13,鱼,鱼
Methane From Titan,580,185,2.2241379310344827,91.6655172413793,1290.0,580,0.0,2.237704918032787,31.9,来自泰坦的甲烷,来自泰坦的甲烷
Terraforming Robots,626,216,2.2252396166134187,93.1964856230032,1393.0,626,2.7252396166134187,2.2378048780487805,34.5,改造机器人,改造机器人
Nuclear Zone,134,50,2.1791044776119404,85.50746268656717,292.0,134,0.0,2.2378048780487805,37.31,核爆辐射区,核爆辐射区
Nitrophilic Moss,554,192,2.223826714801444,85.50902527075812,1232.0,554,0.0,2.238013698630137,34.66,嗜中性苔藓,嗜中性苔藓
Cultural Metropolis,680,232,2.226470588235294,87.98529411764706,1514.0,680,0.0,2.2380281690140844,34.12,多元化都市,多元化都市
Industrial Center:ares,1352,454,2.2322485207100593,86.8905325443787,3018.0,1352,0.0,2.2380607814761215,33.58,Industrial Center:ares,Industrial Center:ares
Air-Scrapping Expedition,901,297,2.2308546059933407,88.24750277469478,2010.0,901,0.0,2.23952738990333,32.96,金星改造远征队,金星改造远征队
Sulphur-Eating Bacteria,1996,683,2.2364729458917836,86.2565130260521,4464.0,1996,0.5020040080160321,2.2403751233958538,34.22,硫磺吞噬菌,硫磺吞噬菌
Ecological Survey,1139,369,2.2335381913959615,89.16066725197541,2544.0,1139,0.0,2.240376390076989,32.4,生态调查,生态调查
Symbiotic Fungus,880,293,2.2329545454545454,86.2159090909091,1965.0,880,0.0,2.241758241758242,33.3,共生真菌,共生真菌
Astra Mechanica,1666,566,2.2376950780312126,87.11704681872749,3728.0,1666,0.0,2.2423349056603774,33.97,星械会,星械会
Solar Logistics,807,279,2.2342007434944238,91.12887236679059,1803.0,807,0.0,2.2437275985663083,34.57,太阳能物流,太阳能物流
Colonial Envoys,372,126,2.2231182795698925,87.44623655913979,827.0,372,0.0,2.243781094527363,33.87,殖民特使,殖民特使
Desperate Measures,269,93,2.2156133828996283,79.42379182156134,596.0,269,0.0,2.2441471571906355,34.57,绝望措施,绝望措施
Towing A Comet,953,310,2.236096537250787,84.09024134312696,2131.0,953,0.0,2.244150559511699,32.53,牵引彗星,牵引彗星
Kelp Farming,1133,378,2.237422771403354,86.99205648720212,2535.0,1133,0.0,2.244196044711952,33.36,养殖海藻,养殖海藻
Urbanized Area,689,229,2.2336719883889695,91.05805515239477,1539.0,689,0.0,2.244784422809458,33.24,城市化区域,城市化区域
Plant Smuggling,1132,385,2.2385159010600706,86.71378091872792,2534.0,1132,0.0,2.2452667814113596,34.01,植物走私集团,植物走私集团
Tardigrades,894,291,2.237136465324385,82.74384787472036,2000.0,894,5.7114093959731544,2.2456709956709955,32.55,缓步微生物,缓步微生物
Artificial Lake,478,168,2.2301255230125525,89.26569037656904,1066.0,478,0.0,2.2460629921259843,35.15,人工湖,人工湖
Energy Market,1562,519,2.2445582586427655,87.11203585147247,3506.0,1562,0.0,2.2493718592964824,33.23,能源市场,能源市场
Expedition to the Surface - Venus,1325,448,2.2437735849056604,87.8022641509434,2973.0,1325,0.0,2.249446494464945,33.81,金星表面探险,金星表面探险
Caretaker Contract,194,67,2.211340206185567,93.3298969072165,429.0,194,0.0,2.25,34.54,监护合约,监护合约
WG Project,1022,344,2.2436399217221137,86.94716242661448,2293.0,1022,0.0,2.2509505703422055,33.66,WG 项目,WG 项目
Stratospheric Birds,1170,383,2.2452991452991453,91.01282051282051,2627.0,1170,5.5256410256410255,2.2516666666666665,32.74,平流层的鸟类,平流层的鸟类
Microgravity Nutrition,653,219,2.2404287901990814,89.99540581929556,1463.0,653,0.0,2.2518301610541727,33.54,微重力营养学,微重力营养学
Water Import From Europa,1240,410,2.245967741935484,91.57661290322581,2785.0,1240,0.0,2.251968503937008,33.06,从欧罗巴(木卫二)注入水源,从欧罗巴(木卫二)注入水源
Public Celebrations,444,154,2.2364864864864864,86.88513513513513,993.0,444,0.0,2.2531645569620253,34.68,公开庆典,公开庆典
Tosche Station (IV),428,135,2.235981308411215,87.30140186915888,957.0,428,0.0,2.2532751091703056,31.54,Tosche Station (IV),Tosche Station (IV)
Grass,961,302,2.2455775234131115,84.40686784599376,2158.0,961,0.0,2.253279515640767,31.43,草,草
Soil Factory,449,147,2.2383073496659245,91.85523385300668,1005.0,449,0.0,2.2546972860125263,32.74,土壤工厂,土壤工厂
Teslaract,311,106,2.2315112540192925,90.63987138263666,694.0,311,0.0,2.2551319648093844,34.08,泰斯拉立方体,泰斯拉立方体
Vote Of No Confidence,234,84,2.2264957264957266,84.88888888888889,521.0,234,0.0,2.257575757575758,35.9,不信任票,不信任票
Martian Monuments,222,76,2.225225225225225,92.97747747747748,494.0,222,0.0,2.257936507936508,34.23,火星纪念碑,火星纪念碑
Vermin,182,63,2.21978021978022,85.35164835164835,404.0,182,7.642857142857143,2.259433962264151,34.62,害兽,害兽
Decomposers,1708,542,2.2558548009367683,86.84953161592506,3853.0,1708,11.309718969555036,2.2600690448791716,31.73,分解者,分解者
Venus Trade Hub,1386,463,2.2554112554112553,88.55194805194805,3126.0,1386,0.0,2.260593220338983,33.41,金星贸易中心,金星贸易中心
Cloud City (V),1164,397,2.2551546391752577,86.96134020618557,2625.0,1164,0.0,2.2613065326633164,34.11,Cloud City (V),Cloud City (V)
Anthozoa,580,186,2.25,88.6448275862069,1305.0,580,2.7431034482758623,2.262295081967213,32.07,珊瑚动物,珊瑚动物
Special Permit,484,162,2.2479338842975207,85.54132231404958,1088.0,484,0.0,2.262645914396887,33.47,特别许可,特别许可
Hospitals,1291,411,2.2571649883811,88.68164213787762,2914.0,1291,4.426800929512006,2.2626797880393643,31.84,医院,医院
GMO Contract,1578,515,2.258555133079848,85.9721166032953,3564.0,1578,0.0,2.263059701492537,32.64,转基因生物合约,转基因生物合约
Secret Labs,1351,453,2.2590673575129534,88.35159141376758,3052.0,1351,0.0,2.264301230992035,33.53,秘密实验室,秘密实验室
Sabotage,688,208,2.254360465116279,85.48837209302326,1551.0,688,0.0,2.264623955431755,30.23,蓄意破坏,蓄意破坏
Titan Air-scrapping,404,131,2.2475247524752477,94.61386138613861,908.0,404,0.5,2.2649769585253456,32.43,处理泰坦空气,处理泰坦空气
Permafrost Extraction,449,144,2.249443207126949,86.22048997772829,1010.0,449,0.0,2.2651356993736953,32.07,冻土精炼,冻土精炼
Mining Area:ares,1280,429,2.26015625,86.41796875,2893.0,1280,0.0,2.265648854961832,33.52,Mining Area:ares,Mining Area:ares
Protected Habitats,712,229,2.2570224719101124,86.38904494382022,1607.0,712,0.0,2.266846361185984,32.16,受保护的栖息地,受保护的栖息地
Huygens Observatory,1365,445,2.2637362637362637,87.37362637362638,3090.0,1365,0.0,2.2688172043010755,32.6,惠更斯天文台,惠更斯天文台
