card_name,play_count,game_count,wins,avg_position,avg_score,total_weighted,count_weighted,avg_resources,weighted_avg_score,win_rate,cn_name,cn_name_plot
16 Psyche,1033,1033,301,2.4007744433688285,86.63891577928364,2480.0,1033,0.0,2.401725790987536,29.14,灵神星16,灵神星16
AI Central,1329,1329,376,2.468021068472536,85.51166290443943,3280.0,1329,0.0,2.4682598954443615,28.29,人工智能核心,人工智能核心
AI Controlled Mine Network,15,15,5,2.2666666666666666,106.13333333333334,34.0,15,0.0,2.36,33.33,AI控制采矿网络,AI控制采矿网络
Acidizing,1,1,0,2.0,106.0,2.0,1,0.0,2.4545454545454546,0.0,酸化处理,酸化处理
Acquired Company,777,777,193,2.5804375804375805,82.45045045045045,2005.0,777,0.0,2.579415501905972,24.84,并购公司,并购公司
Adaptation Technology,680,680,195,2.4529411764705884,84.85441176470589,1668.0,680,0.0,2.453623188405797,28.68,适应性技术,适应性技术
Adapted Lichen,403,403,119,2.404466501240695,85.32009925558313,969.0,403,0.0,2.406779661016949,29.53,自适应地衣,自适应地衣
Advanced Alloys,1640,1640,480,2.3920731707317073,85.18353658536586,3923.0,1640,0.0,2.3927272727272726,29.27,优化合金,优化合金
Advanced Ecosystems,1321,1321,449,2.2127176381529146,90.11430734292203,2923.0,1321,0.0,2.2148760330578514,33.99,先进的生态系统,先进的生态系统
Advanced Power Grid,685,685,200,2.386861313868613,85.74452554744525,1635.0,685,0.0,2.3884892086330933,29.2,电网改进,电网改进
Advertising,1080,1080,314,2.471296296296296,84.15648148148148,2669.0,1080,0.0,2.471559633027523,29.07,广告业,广告业
Aerial Lenses,152,152,46,2.289473684210526,79.14473684210526,348.0,152,0.0,2.302469135802469,30.26,对空透镜,对空透镜
Aerial Mappers,1534,1534,498,2.292046936114733,87.21903520208605,3516.0,1534,0.5651890482398957,2.29339378238342,32.46,航空制图器,航空制图器
Aerobraked Ammonia Asteroid,127,127,34,2.3307086614173227,90.51968503937007,296.0,127,0.0,2.343065693430657,26.77,氮气小行星,氮气小行星
Aerosport Tournament,621,621,237,2.101449275362319,95.29790660225443,1305.0,621,0.0,2.1077654516640254,38.16,航空运动锦标赛,航空运动锦标赛
Agro-Drones,137,137,42,2.3576642335766422,90.43065693430657,323.0,137,0.0,2.36734693877551,30.66,农业无人机,农业无人机
Air Raid,905,905,276,2.3171270718232044,86.57016574585636,2097.0,905,0.0,2.3191256830601095,30.5,空袭,空袭
Air-Scrapping Expedition,901,901,297,2.2308546059933407,88.24750277469478,2010.0,901,0.0,2.2338090010976948,32.96,金星改造远征队,金星改造远征队
Airliners,627,627,200,2.274322169059011,89.73365231259969,1426.0,627,0.0,2.2778649921507066,31.9,航空公司,航空公司
Algae,859,859,269,2.270081490104773,86.47613504074505,1950.0,859,0.0,2.272727272727273,31.32,海藻,海藻
Algae Bioreactors,8,8,6,1.5,117.875,12.0,8,0.0,2.0555555555555554,75.0,藻类生物反应器,藻类生物反应器
An Offer You Can't Refuse,95,95,35,2.1578947368421053,85.21052631578948,205.0,95,0.0,2.1904761904761907,36.84,一个无法拒绝的条件,一个无法拒绝的条件
Ansible,1186,1186,352,2.415682967959528,87.91989881956155,2865.0,1186,0.0,2.4163879598662206,29.68,安塞波,安塞波
Anthozoa,580,580,186,2.25,88.6448275862069,1305.0,580,2.7431034482758623,2.2542372881355934,32.07,珊瑚动物,珊瑚动物
Anti-Gravity Technology,1384,1384,523,2.1661849710982657,93.43280346820809,2998.0,1384,0.0,2.16857962697274,37.79,反重力科技,反重力科技
Anti-trust Crackdown,3,3,2,1.6666666666666667,109.33333333333333,5.0,3,0.0,2.3076923076923075,66.67,反垄断打击,反垄断打击
AntiGravity Experiment,1248,1248,446,2.1963141025641026,92.49599358974359,2741.0,1248,0.0,2.1987281399046106,35.74,反重力先行试验,反重力先行试验
Ants,1223,1223,381,2.3172526573998367,86.56336876533115,2834.0,1223,9.262469337694194,2.318734793187348,31.15,蚂蚁,蚂蚁
Aqueduct Systems,1192,1192,421,2.2181208053691277,89.44379194630872,2644.0,1192,0.0,2.220465890183028,35.32,导水系统,导水系统
Aquifer Pumping,129,129,30,2.488372093023256,83.2015503875969,321.0,129,0.0,2.4892086330935252,23.26,含水层抽水,含水层抽水
ArchaeBacteria,619,619,161,2.368336025848142,82.63489499192245,1466.0,619,0.0,2.370429252782194,26.01,古细菌类,古细菌类
Archimedes Hydroponics Station,114,114,31,2.3947368421052633,92.26315789473684,273.0,114,0.0,2.403225806451613,27.19,阿基米德水培站,阿基米德水培站
Arctic Algae,891,891,273,2.287317620650954,83.19753086419753,2038.0,891,0.0,2.2896781354051052,30.64,北极的藻类植物,北极的藻类植物
Aristarchus Road Network,11,11,3,2.5454545454545454,95.36363636363636,28.0,11,0.0,2.5238095238095237,27.27,阿里斯塔克斯街道网络,阿里斯塔克斯街道网络
Artesian Aquifer,8,8,5,1.75,106.375,14.0,8,0.0,2.1666666666666665,62.5,自流含水层,自流含水层
Artificial Lake,478,478,168,2.2301255230125525,89.26569037656904,1066.0,478,0.0,2.235655737704918,35.15,人工湖,人工湖
Artificial Photosynthesis,766,766,213,2.4817232375979112,83.70104438642298,1901.0,766,0.0,2.481958762886598,27.81,人造光合作用,人造光合作用
Asteroid,1314,1314,414,2.337138508371385,84.41704718417047,3071.0,1314,0.0,2.338368580060423,31.51,小行星,小行星
Asteroid Deflection System,762,762,237,2.3648293963254594,85.94488188976378,1802.0,762,1.2874015748031495,2.366580310880829,31.1,小行星防卫系统,小行星防卫系统
Asteroid Hollowing,84,84,17,2.7857142857142856,79.82142857142857,234.0,84,3.607142857142857,2.75531914893617,20.24,行星挖掘,行星挖掘
Asteroid Mining,933,933,258,2.4737406216505895,86.05251875669882,2308.0,933,0.0,2.4740190880169672,27.65,小行星采矿,小行星采矿
Asteroid Mining Consortium,845,845,245,2.442603550295858,87.32426035502958,2064.0,845,0.0,2.4432748538011695,28.99,行星采矿财团,行星采矿财团
Asteroid Resources,857,857,283,2.2252042007001167,86.9708284714119,1907.0,857,0.0,2.2283737024221453,33.02,小行星资源,小行星资源
Asteroid Rights,1546,1546,487,2.298835705045278,85.65265200517464,3554.0,1546,0.36610608020698576,2.30012853470437,31.5,小行星权力,小行星权力
Astra Mechanica,1666,1666,566,2.2376950780312126,87.11704681872749,3728.0,1666,0.0,2.2392601431980905,33.97,星械会,星械会
Atalanta Planitia Lab,1934,1934,596,2.341261633919338,87.5124095139607,4528.0,1934,0.0,2.3420781893004117,30.82,亚特兰大实验室,亚特兰大实验室
Atmo Collectors,614,614,168,2.436482084690554,83.06677524429968,1496.0,614,0.7149837133550488,2.4375,27.36,大气收藏家,大气收藏家
Atmoscoop,1420,1420,492,2.1894366197183097,89.30492957746479,3109.0,1420,0.0,2.1916083916083915,34.65,大气束缚场,大气束缚场
Bactoviral Research,1354,1354,481,2.1868537666174297,91.39217134416543,2961.0,1354,0.0,2.189149560117302,35.52,细菌病毒研究,细菌病毒研究
Banned Delegate,262,262,82,2.3091603053435112,84.4885496183206,605.0,262,0.0,2.3161764705882355,31.3,违法代表,违法代表
Battery Factory,635,635,201,2.3653543307086613,89.06771653543306,1502.0,635,0.0,2.3674418604651164,31.65,电池工厂,电池工厂
Beam From A Thorium Asteroid,379,379,100,2.308707124010554,88.37467018469657,875.0,379,0.0,2.3136246786632393,26.39,钍行星射线,钍行星射线
Behemoth Excavator,13,13,3,2.769230769230769,86.53846153846153,36.0,13,0.0,2.652173913043478,23.08,巨兽挖掘机,巨兽挖掘机
Behold The Emperor! (III),73,73,27,2.1780821917808217,90.43835616438356,159.0,73,0.0,2.216867469879518,36.99,Behold The Emperor! (III),Behold The Emperor! (III)
Big Asteroid,1280,1280,393,2.29140625,84.45546875,2933.0,1280,0.0,2.2930232558139534,30.7,大型小行星,大型小行星
Bio Printing Facility,459,459,126,2.3616557734204795,87.45533769063181,1084.0,459,0.0,2.3646055437100215,27.45,生物打印设备,生物打印设备
Bio-Fertilizer Facility,1518,1518,511,2.218050065876153,86.38076416337286,3367.0,1518,0.0,2.2198952879581153,33.66,肥料工厂,肥料工厂
Biobatteries,97,97,33,2.2783505154639174,84.50515463917526,221.0,97,0.0,2.2990654205607477,34.02,生物电池,生物电池
Bioengineering Enclosure,609,609,200,2.2676518883415433,91.42528735632185,1381.0,609,0.6995073891625616,2.27140549273021,32.84,生物工程组件,生物工程组件
Biomass Combustors,343,343,96,2.434402332361516,82.89795918367346,835.0,343,0.0,2.4362606232294617,27.99,生物量燃烧,生物量燃烧
Birds,730,730,250,2.223287671232877,89.88356164383562,1623.0,730,2.6780821917808217,2.227027027027027,34.25,鸟,鸟
Black Polar Dust,335,335,97,2.328358208955224,80.61791044776119,780.0,335,0.0,2.3333333333333335,28.96,黑色的极地尘埃,黑色的极地尘埃
Border Checkpoint,1193,1193,372,2.352891869237217,84.83738474434199,2807.0,1193,0.0,2.3541147132169575,31.18,边境检查站,边境检查站
Botanical Experience,970,970,267,2.377319587628866,85.11752577319588,2306.0,970,0.9927835051546392,2.3785714285714286,27.53,植物专业知识,植物专业知识
Breathing Filters,1155,1155,353,2.361038961038961,88.47099567099568,2727.0,1155,0.0,2.362231759656652,30.56,呼吸过滤器,呼吸过滤器
Breeding Farms,578,578,200,2.2197231833910034,91.50519031141869,1283.0,578,0.0,2.2244897959183674,34.6,养殖农场,养殖农场
Bribed Committee,770,770,208,2.5142857142857142,82.52597402597402,1936.0,770,0.0,2.514102564102564,27.01,贿赂委员会,贿赂委员会
Building Industries,528,528,142,2.4734848484848486,84.83522727272727,1306.0,528,0.0,2.473977695167286,26.89,建筑行业,建筑行业
Bushes,872,872,309,2.1857798165137616,87.5756880733945,1906.0,872,0.0,2.189342403628118,35.44,花丛,花丛
Business Contacts,1732,1732,551,2.3625866050808315,84.5513856812933,4092.0,1732,0.0,2.3633754305396097,31.81,商业合同,商业合同
Business Network,1396,1396,409,2.394699140401146,84.12750716332378,3343.0,1396,0.0,2.395448079658606,29.3,商业网络,商业网络
Butterfly Effect,435,435,136,2.282758620689655,89.9287356321839,993.0,435,0.0,2.2876404494382023,31.26,蝴蝶效应,蝴蝶效应
CEO's Favorite Project,1233,1233,393,2.291970802919708,87.76317923763179,2826.0,1233,0.0,2.2936444086886563,31.87,CEO最喜欢的项目,CEO最喜欢的项目
Callisto Penal Mines,931,931,261,2.417830290010741,86.51664876476906,2251.0,931,0.0,2.418703506907545,28.03,木卫四开采法,木卫四开采法
Capital,76,76,25,2.1842105263157894,92.34210526315789,166.0,76,0.0,2.2209302325581395,32.89,首都,首都
Capital:ares,825,825,285,2.1818181818181817,89.12727272727273,1800.0,825,0.0,2.18562874251497,34.55,Capital:ares,Capital:ares
Carbon Nanosystems,1732,1732,528,2.3331408775981526,86.02020785219399,4041.0,1732,0.5889145496535797,2.3340987370838118,30.48,碳纳米系统,碳纳米系统
Carbonate Processing,305,305,97,2.301639344262295,85.8295081967213,702.0,305,0.0,2.3079365079365077,31.8,碳酸盐处理,碳酸盐处理
Caretaker Contract,194,194,67,2.211340206185567,93.3298969072165,429.0,194,0.0,2.2254901960784315,34.54,监护合约,监护合约
Cartel,1017,1017,340,2.3500491642084564,87.34218289085545,2390.0,1017,0.0,2.3515092502434274,33.43,同业联盟,同业联盟
Casino,4,4,2,2.25,79.25,9.0,4,0.0,2.4285714285714284,50.0,赌场,赌场
Casinos,491,491,126,2.5173116089613035,84.31364562118127,1236.0,491,0.0,2.5169660678642716,25.66,赌场,赌场
Cassini Station,730,730,210,2.328767123287671,89.18493150684931,1700.0,730,0.0,2.331081081081081,28.77,卡西尼太空站,卡西尼太空站
Cave City,10,10,4,1.9,93.8,19.0,10,0.0,2.2,40.0,洞穴城市,洞穴城市
Ceres Spaceport,930,930,284,2.332258064516129,88.75913978494624,2169.0,930,0.0,2.3340425531914892,30.54,谷神星太空港,谷神星太空港
Ceres Tech Market,1638,1638,450,2.4053724053724053,84.71550671550672,3940.0,1638,0.0,2.4059466019417477,27.47,谷神星科技市场,谷神星科技市场
Charity Donation,1362,1362,372,2.474302496328928,83.38325991189427,3370.0,1362,0.0,2.4744897959183674,27.31,慈善捐款,慈善捐款
Chemical Factory,8,8,2,2.25,92.5,18.0,8,0.0,2.388888888888889,25.0,化工厂,化工厂
City Park,386,386,148,2.064766839378238,98.89896373056995,797.0,386,0.0,2.0757575757575757,38.34,City Park,City Park
City Parks,423,423,171,2.00709219858156,91.49172576832152,849.0,423,0.0,2.0184757505773674,40.43,城市公园,城市公园
Class-action Lawsuit,2,2,2,1.0,177.5,2.0,2,0.0,2.25,100.0,集体诉讼,集体诉讼
Clone Technology,933,933,343,2.1414790996784565,91.43622722400858,1998.0,933,0.0,2.1452810180275717,36.76,克隆科技,克隆科技
Clone Troopers (II),322,322,103,2.2577639751552794,90.36645962732919,727.0,322,1.9472049689440993,2.2650602409638556,31.99,Clone Troopers (II),Clone Troopers (II)
Cloud City (V),1164,1164,397,2.2551546391752577,86.96134020618557,2625.0,1164,0.0,2.2572402044293014,34.11,Cloud City (V),Cloud City (V)
Cloud Seeding,233,233,62,2.424892703862661,88.78540772532189,565.0,233,0.0,2.42798353909465,26.61,人工降雨,人工降雨
Cloud Tourism,1370,1370,436,2.2737226277372264,89.292700729927,3115.0,1370,5.5715328467153284,2.2753623188405796,31.82,云端旅游,云端旅游
Colonial Envoys,372,372,126,2.2231182795698925,87.44623655913979,827.0,372,0.0,2.230366492146597,33.87,殖民特使,殖民特使
Colonial Representation,591,591,160,2.3840947546531304,87.30456852791878,1409.0,591,0.0,2.3860232945091515,27.07,殖民代表权,殖民代表权
Colonist Shuttles,3,3,1,3.0,-70.0,9.0,3,0.0,2.6153846153846154,33.33,殖民者穿梭机,殖民者穿梭机
Colonizer Training Camp,980,980,270,2.4357142857142855,83.58571428571429,2387.0,980,0.0,2.4363636363636365,27.55,开拓者训练营,开拓者训练营
Comet,908,908,272,2.3116740088105727,81.85903083700441,2099.0,908,0.0,2.3137254901960786,29.96,彗星,彗星
Comet Aiming,71,71,16,2.647887323943662,85.01408450704226,188.0,71,0.23943661971830985,2.6296296296296298,22.54,彗星瞄准,彗星瞄准
Comet for Venus,908,908,283,2.3854625550660793,85.4636563876652,2166.0,908,0.0,2.386710239651416,31.17,飞向金星的彗星,飞向金星的彗星
Commercial District,86,86,29,2.2790697674418605,90.40697674418605,196.0,86,0.0,2.3020833333333335,33.72,商业区,商业区
Commercial District:ares,897,897,261,2.3444816053511706,86.09476031215162,2103.0,897,0.0,2.34619625137817,29.1,Commercial District:ares,Commercial District:ares
Communication Center,633,633,215,2.309636650868878,88.18009478672985,1462.0,633,0.9699842022116903,2.312597200622084,33.97,通讯中心,通讯中心
Community Services,406,406,117,2.4655172413793105,84.80295566502463,1001.0,406,0.0,2.4663461538461537,28.82,社区服务,社区服务
Community Worker,1299,1299,382,2.3979984603541187,86.45419553502694,3115.0,1299,0.0,2.39877769289534,29.41,社区工作者,社区工作者
Concession Rights,7,7,4,2.142857142857143,88.57142857142857,15.0,7,0.0,2.3529411764705883,57.14,特许权,特许权
Conscription,1539,1539,490,2.2917478882391165,86.32163742690058,3527.0,1539,0.0,2.2930923176242737,31.84,征兵,征兵
Controlled Bloom,1343,1343,461,2.220402084884587,87.11317944899479,2982.0,1343,0.0,2.222468588322247,34.33,爆破控制,爆破控制
Convoy From Europa,1312,1312,391,2.3810975609756095,83.58689024390245,3124.0,1312,0.0,2.381996974281392,29.8,木卫二护航队,木卫二护航队
Coordinated Raid,71,71,23,2.4225352112676055,88.45070422535211,172.0,71,0.0,2.432098765432099,32.39,协调一致的空袭,协调一致的空袭
Copernicus Solar Arrays,427,427,95,2.585480093676815,80.10070257611241,1104.0,427,0.0,2.583524027459954,22.25,哥白尼太阳能电池,哥白尼太阳能电池
Copernicus Tower,7,7,1,2.4285714285714284,108.14285714285714,17.0,7,0.2857142857142857,2.4705882352941178,14.29,哥白尼塔,哥白尼塔
Corona Extractor,965,965,289,2.349222797927461,87.17927461139897,2267.0,965,0.0,2.350769230769231,29.95,日冕提取器,日冕提取器
Corporate Blackmail,3,3,1,2.3333333333333335,98.33333333333333,7.0,3,0.0,2.4615384615384617,33.33,企业敲诈,企业敲诈
Corporate Stronghold,593,593,163,2.367622259696459,82.39629005059022,1404.0,593,0.0,2.369817578772803,27.49,公司据点,公司据点
Corporate Theft,3,3,0,3.0,60.333333333333336,9.0,3,0.0,2.6153846153846154,0.0,企业盗窃,企业盗窃
Corroder Suits,1147,1147,331,2.3705318221447254,85.70706190061028,2719.0,1147,0.0,2.3716508210890233,28.86,防护服,防护服
Cosmic Radiation,6,6,1,2.5,97.0,15.0,6,0.0,2.5,16.67,宇宙射线,宇宙射线
Cow,1368,1368,417,2.323099415204678,85.50292397660819,3178.0,1368,3.2478070175438596,2.3243831640058055,30.48,奶牛,奶牛
Crash Site Cleanup,950,950,319,2.2136842105263157,89.11263157894737,2103.0,950,0.0,2.216666666666667,33.58,陨石坑清洁,陨石坑清洁
Crashlanding,157,157,58,2.089171974522293,91.89171974522293,328.0,157,0.0,2.1137724550898205,36.94,紧急迫降,紧急迫降
Crater Survey,9,9,4,1.8888888888888888,44.666666666666664,17.0,9,0.0,2.210526315789474,44.44,陨石坑调查,陨石坑调查
Cryo-Sleep,1213,1213,331,2.471558120362737,83.36191261335532,2998.0,1213,0.0,2.471790678659035,27.29,低温睡眠,低温睡眠
Cryptocurrency,592,592,176,2.4087837837837838,80.5304054054054,1426.0,592,0.27702702702702703,2.410299003322259,29.73,加密货币,加密货币
Cultivation of Venus,936,936,314,2.1891025641025643,90.75854700854701,2049.0,936,0.0,2.192389006342495,33.55,金星育种,金星育种
Cultural Metropolis,680,680,232,2.226470588235294,87.98529411764706,1514.0,680,0.0,2.2304347826086954,34.12,多元化都市,多元化都市
Cupola City,752,752,239,2.285904255319149,85.98005319148936,1719.0,752,0.0,2.288713910761155,31.78,穹顶舱城市,穹顶舱城市
Cut-throat Budgeting,8,8,3,2.25,87.25,18.0,8,0.0,2.388888888888889,37.5,残酷预算,残酷预算
Cutting Edge Technology,1784,1784,537,2.350896860986547,85.51457399103138,4194.0,1784,0.0,2.351727982162765,30.1,前沿科技,前沿科技
Cyanobacteria,1214,1214,416,2.2084019769357495,88.62602965403624,2681.0,1214,0.0,2.2107843137254903,34.27,蓝藻菌,蓝藻菌
Cyberia Systems,307,307,75,2.50814332247557,85.57003257328991,770.0,307,0.0,2.5078864353312302,24.43,赛博利亚系统,赛博利亚系统
Darkside Incubation Plant,178,178,59,2.2865168539325844,86.56179775280899,407.0,178,10.320224719101123,2.297872340425532,33.15,暗面孵化设施,暗面孵化设施
Darkside Meteor Bombardment,21,21,4,2.5714285714285716,102.80952380952381,54.0,21,0.0,2.5483870967741935,19.05,暗面流星雨轰击,暗面流星雨轰击
Darkside Mining Syndicate,15,15,3,2.1333333333333333,110.06666666666666,32.0,15,0.0,2.28,20.0,暗面矿业联盟,暗面矿业联盟
Darkside Observatory,319,319,93,2.404388714733542,87.23510971786834,767.0,319,0.0,2.407294832826748,29.15,暗面天文台,暗面天文台
Darkside Smugglers' Union,18,18,6,2.2777777777777777,119.27777777777777,41.0,18,0.0,2.357142857142857,33.33,Darkside Smugglers' Union,Darkside Smugglers' Union
Data Leak,445,445,141,2.2606741573033706,88.8067415730337,1006.0,445,0.0,2.265934065934066,31.69,数据泄露,数据泄露
Dawn City,1227,1227,387,2.302363488182559,89.40994295028524,2825.0,1227,0.0,2.3039611964430073,31.54,拂晓之城,拂晓之城
Declaration of Independence,47,47,23,1.8085106382978724,111.72340425531915,85.0,47,0.0,1.9298245614035088,48.94,独立宣言,独立宣言
Decomposers,1708,1708,542,2.2558548009367683,86.84953161592506,3853.0,1708,11.309718969555036,2.2572759022118745,31.73,分解者,分解者
Deep Foundations,2,2,1,2.5,117.0,5.0,2,0.0,2.5,50.0,深层地基,深层地基
Deep Lunar Mining,16,16,5,2.375,100.75,38.0,16,0.0,2.423076923076923,31.25,月球深度挖掘,月球深度挖掘
Deep Well Heating,1016,1016,266,2.436023622047244,81.68208661417323,2475.0,1016,0.0,2.4366471734892787,26.18,深井加热,深井加热
Deepmining,13,13,2,2.4615384615384617,85.38461538461539,32.0,13,0.0,2.4782608695652173,15.38,深层采矿,深层采矿
Deepnuking,11,11,5,2.0,87.0,22.0,11,0.0,2.238095238095238,45.45,深层核爆,深层核爆
Deimos Down,1,1,0,2.0,89.0,2.0,1,0.0,2.4545454545454546,0.0,火卫二陨落,火卫二陨落
Deimos Down:ares,1163,1163,406,2.1943250214961307,83.98194325021497,2552.0,1163,0.0,2.1969309462915603,34.91,Deimos Down:ares,Deimos Down:ares
Deimos Down:promo,117,117,38,2.3076923076923075,81.1025641025641,270.0,117,0.0,2.322834645669291,32.48,Deimos Down:promo,Deimos Down:promo
Designed Microorganisms,537,537,134,2.46927374301676,80.85661080074487,1326.0,537,0.0,2.469835466179159,24.95,创造微生物,创造微生物
Designed Organisms,1116,1116,412,2.118279569892473,92.69802867383513,2364.0,1116,0.0,2.121669626998224,36.92,生物体设计,生物体设计
Desperate Measures,269,269,93,2.2156133828996283,79.42379182156134,596.0,269,0.0,2.225806451612903,34.57,绝望措施,绝望措施
Detective TV Series,4,4,0,3.0,-41.0,12.0,4,0.0,2.642857142857143,0.0,侦探电视系列剧,侦探电视系列剧
Deuterium Export,1285,1285,394,2.3782101167315175,85.42801556420234,3056.0,1285,0.8303501945525292,2.379150579150579,30.66,输出氘,输出氘
Development Center,1172,1172,310,2.4411262798634814,85.75767918088737,2861.0,1172,0.0,2.4416243654822334,26.45,发展中心,发展中心
Diaspora Movement,1105,1105,393,2.1882352941176473,89.89954751131222,2418.0,1105,0.0,2.1910313901345293,35.57,大流散运动,大流散运动
Directed Heat Usage,1183,1183,379,2.289940828402367,86.97717666948436,2709.0,1183,0.0,2.291701592623638,32.04,热能定向利用,热能定向利用
Directed Impactors,226,226,57,2.393805309734513,88.38938053097345,541.0,226,0.1415929203539823,2.3983050847457625,25.22,定向冲撞器,定向冲撞器
Dirigibles,1286,1286,375,2.3716951788491447,85.7846034214619,3050.0,1286,0.8530326594090202,2.372685185185185,29.16,悬浮艇,悬浮艇
Diversity Support,438,438,181,2.0342465753424657,97.82648401826484,891.0,438,0.0,2.044642857142857,41.32,多样性扶持,多样性扶持
Domed Crater,618,618,190,2.2766990291262137,84.73624595469256,1407.0,618,0.0,2.2802547770700636,30.74,圆顶火山口,圆顶火山口
Dusk Laser Mining,1549,1549,466,2.3602324080051647,85.49903163331182,3656.0,1549,0.0,2.3611289288005133,30.08,黄昏激光矿业,黄昏激光矿业
Dust Seals,527,527,151,2.4193548387096775,83.34345351043643,1275.0,527,0.0,2.4208566108007448,28.65,垃圾密封,垃圾密封
Dust Storm,616,616,190,2.3181818181818183,80.89772727272727,1428.0,616,0.0,2.3210862619808306,30.84,沙尘暴,沙尘暴
Dyson Screens,1153,1153,354,2.2914137033824806,86.96790980052039,2642.0,1153,0.0,2.293207222699914,30.7,戴森屏,戴森屏
EM Drive,543,543,159,2.3977900552486187,87.10497237569061,1302.0,543,0.0,2.399638336347197,29.28,无工质推进飞船,无工质推进飞船
Early Expedition,715,715,197,2.406993006993007,83.35664335664336,1721.0,715,0.0,2.4082758620689657,27.55,早期探险,早期探险
Earth Catapult,1621,1621,600,2.1967921036397287,89.76064157927206,3561.0,1621,0.0,2.198651134273452,37.01,地球发射站,地球发射站
Earth Elevator,591,591,148,2.524534686971235,85.61421319796955,1492.0,591,0.0,2.524126455906822,25.04,地球太空梯,地球太空梯
Earth Embassy,5,5,1,2.6,98.0,13.0,5,0.0,2.533333333333333,20.0,地球大使馆,地球大使馆
Earth Office,1698,1698,558,2.2850412249705534,87.02414605418139,3880.0,1698,0.0,2.2862997658079625,32.86,地球办公室,地球办公室
Earthquake Machine,9,9,2,2.7777777777777777,78.22222222222223,25.0,9,0.0,2.6315789473684212,22.22,地震机器,地震机器
Ecological Survey,1139,1139,369,2.2335381913959615,89.16066725197541,2544.0,1139,0.0,2.2358572671888597,32.4,生态调查,生态调查
Ecological Zone,99,99,45,1.97979797979798,92.5959595959596,196.0,99,6.838383838383838,2.0275229357798166,45.45,生态保护区,生态保护区
Ecological Zone:ares,1444,1444,521,2.153047091412742,89.35110803324099,3109.0,1444,7.8310249307479225,2.155433287482806,36.08,Ecological Zone:ares,Ecological Zone:ares
Ecology Research,714,714,266,2.092436974789916,94.55882352941177,1494.0,714,0.0,2.0980662983425415,37.25,生态学研究,生态学研究
Economic Espionage,308,308,79,2.477272727272727,85.34415584415585,763.0,308,1.8831168831168832,2.4779874213836477,25.65,经济间谍活动,经济间谍活动
Economic Help,244,244,63,2.528688524590164,88.86475409836065,617.0,244,0.0,2.52755905511811,25.82,经济援助,经济援助
Electric Sheep,663,663,216,2.2654600301659125,92.20060331825037,1502.0,663,4.722473604826546,2.2689450222882614,32.58,电子羊,电子羊
Electro Catapult,722,722,191,2.4778393351800556,83.50831024930748,1789.0,722,0.0,2.478142076502732,26.45,电磁弹射器,电磁弹射器
Energy Market,1562,1562,519,2.2445582586427655,87.11203585147247,3506.0,1562,0.0,2.24618320610687,33.23,能源市场,能源市场
Energy Saving,222,222,71,2.364864864864865,91.04054054054055,525.0,222,0.0,2.3706896551724137,31.98,节能减排,节能减排
Energy Station,1159,1159,350,2.340811044003451,84.05176876617774,2713.0,1159,0.0,2.3421727972626174,30.2,能源站,能源站
Energy Supply,1091,1091,334,2.323556370302475,84.85334555453713,2535.0,1091,0.0,2.3251589464123525,30.61,电力补给,电力补给
