corporation,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_generations,weighted_avg_score,win_rate,cn_name,cn_name_plot
Aphrodite (breakthrough),358,180,1.7122905027932962,97.67039106145252,613.0,358,7.240223463687151,1.7731958762886597,50.28,Aphrodite (breakthrough),Aphrodite (breakthrough)
Id Front,236,126,1.7161016949152543,136.58474576271186,405.0,236,8.682203389830509,1.8045112781954886,53.39,å‰çº¿åŸºåœ°,å‰çº¿åŸºåœ°
Robinson Industries (breakthrough),195,82,1.8666666666666667,111.32820512820513,364.0,195,8.748717948717948,1.951111111111111,42.05,Robinson Industries (breakthrough),Robinson Industries (breakthrough)
UNMI (breakthrough),417,166,1.9184652278177459,92.75779376498801,800.0,417,7.400479616306955,1.9574944071588367,39.81,UNMI (breakthrough),UNMI (breakthrough)
Brotherhood of Mutants,80,42,1.7625,123.725,141.0,80,7.275,1.9636363636363636,52.5,å˜ç§äººå…„å¼Ÿä¼š,å˜ç§äººå…„å¼Ÿä¼š
ğŸŒ¸Green Leaf DanceğŸŒ¸,417,176,1.9328537170263789,85.78896882494004,806.0,417,6.151079136690647,1.970917225950783,42.21,ğŸŒ¸ç»¿å¶èˆåŠ¨ğŸŒ¸,ç»¿å¶èˆåŠ¨
MorningStar Inc (breakthrough),875,358,1.985142857142857,104.20571428571428,1737.0,875,7.3748571428571426,2.0022099447513813,40.91,MorningStar Inc (breakthrough),MorningStar Inc (breakthrough)
Imperial Star Destroyer,254,106,1.9763779527559056,120.43307086614173,502.0,254,8.059055118110237,2.0316901408450705,41.73,å¸å›½æ­¼æ˜Ÿèˆ°,å¸å›½æ­¼æ˜Ÿèˆ°
Ecoline (breakthrough),553,193,2.023508137432188,84.54430379746836,1119.0,553,6.76491862567812,2.0480274442538593,34.9,Ecoline (breakthrough),Ecoline (breakthrough)
Philares,162,62,1.9938271604938271,96.74691358024691,323.0,162,7.6419753086419755,2.0729166666666665,38.27,,
Chaos,285,117,2.0456140350877194,104.89473684210526,583.0,285,7.280701754385965,2.088888888888889,41.05,Chaos,Chaos
Nirgal Enterprises,57,21,1.9298245614035088,99.66666666666667,110.0,57,8.24561403508772,2.1264367816091956,36.84,Nirgal Enterprises,Nirgal Enterprises
Eglogue,337,113,2.0979228486646884,73.43323442136499,707.0,337,5.2195845697329375,2.130790190735695,33.53,Eglogue,Eglogue
Aridor,274,99,2.105839416058394,113.11678832116789,577.0,274,8.375912408759124,2.1447368421052633,36.13,Aridor,Aridor
Tharsis_republic (breakthrough),339,106,2.1150442477876106,93.13274336283186,717.0,339,7.660766961651918,2.1463414634146343,31.27,Tharsis_republic (breakthrough),Tharsis_republic (breakthrough)
Splice (breakthrough),896,296,2.146205357142857,89.8125,1923.0,896,6.483258928571429,2.1576673866090714,33.04,Splice (breakthrough),Splice (breakthrough)
ğŸŒ¸ProtogenğŸŒ¸,418,141,2.1339712918660285,84.96411483253588,892.0,418,6.105263157894737,2.158482142857143,33.73,ğŸŒ¸å¾®ç”Ÿç‰©çƒ­èˆğŸŒ¸,å¾®ç”Ÿç‰©çƒ­èˆ
ğŸŒ¸Buy N LargeğŸŒ¸,315,111,2.13015873015873,81.87301587301587,671.0,315,6.006349206349206,2.1623188405797102,35.24,ğŸŒ¸å¤§å·¨è´­ğŸŒ¸,å¤§å·¨è´­
EcoTec,493,161,2.1419878296146044,85.04868154158216,1056.0,493,6.543610547667343,2.1625239005736137,32.66,EcoTec,EcoTec
United Nations Mission One,489,159,2.1431492842535786,77.07566462167689,1048.0,489,5.0961145194274025,2.163776493256262,32.52,United Nations Mission One,United Nations Mission One
Millennium Falcon,189,72,2.121693121693122,106.23280423280423,401.0,189,7.904761904761905,2.17351598173516,38.1,åƒå¹´éš¼,åƒå¹´éš¼
Ringcom,903,296,2.1738648947951273,92.76965669988925,1963.0,903,6.211517165005537,2.1843515541264735,32.78,Ringcom,Ringcom
Vitor,1073,394,2.1798695246971107,97.36253494874184,2339.0,1073,6.674743709226468,2.188576609247507,36.72,Vitor,Vitor
PolderTECH Dutch,143,53,2.132867132867133,44.88111888111888,305.0,143,2.1888111888111887,2.1965317919075145,37.06,è·å…°åœ©ç”°ç§‘æŠ€,è·å…°åœ©ç”°ç§‘æŠ€
Trade Navigator,224,73,2.1651785714285716,119.00892857142857,485.0,224,8.125,2.204724409448819,32.59,è´¸æ˜“é¢†èˆªè€…,è´¸æ˜“é¢†èˆªè€…
Arcadian Communities (breakthrough),452,154,2.185840707964602,81.79646017699115,988.0,452,6.119469026548672,2.2053941908713695,34.07,Arcadian Communities (breakthrough),Arcadian Communities (breakthrough)
Celestic (breakthrough),1149,376,2.1984334203655354,92.63272410791993,2526.0,1149,6.747606614447346,2.2061068702290076,32.72,Celestic (breakthrough),Celestic (breakthrough)
ğŸŒ¸SolarPlantğŸŒ¸,686,225,2.193877551020408,87.23032069970846,1505.0,686,6.274052478134111,2.206703910614525,32.8,ğŸŒ¸å¤ªé˜³èƒ½å…¬å¸ğŸŒ¸,å¤ªé˜³èƒ½å…¬å¸
Earth Cat Cult,76,32,2.0921052631578947,87.42105263157895,159.0,76,6.2894736842105265,2.207547169811321,42.11,Earth Cat Cult,Earth Cat Cult
Interplanetary Cinematics (breakthrough),1167,404,2.20222793487575,88.99571550985432,2570.0,1167,6.641816623821765,2.20969089390142,34.62,Interplanetary Cinematics (breakthrough),Interplanetary Cinematics (breakthrough)
ğŸŒ¸MirrorCoatğŸŒ¸,392,136,2.191326530612245,93.95663265306122,859.0,392,6.604591836734694,2.213270142180095,34.69,ğŸŒ¸é•œåğŸŒ¸,é•œå
Spire,754,266,2.2055702917771884,92.77188328912467,1663.0,754,6.510610079575597,2.2168367346938775,35.28,Spire,Spire
Soylent Seedling Systems,238,69,2.1848739495798317,57.28151260504202,520.0,238,3.600840336134454,2.220149253731343,28.99,ç´¢ä¼¦ç‰¹å¹¼è‹—ç³»ç»Ÿ,ç´¢ä¼¦ç‰¹å¹¼è‹—ç³»ç»Ÿ
ğŸŒ¸ProwlerğŸŒ¸,579,180,2.2072538860103625,82.14162348877375,1278.0,579,6.0310880829015545,2.2216748768472905,31.09,ğŸŒ¸å¾˜å¾Šè€…ğŸŒ¸,å¾˜å¾Šè€…
ğŸŒ¸RDAğŸŒ¸,441,136,2.2063492063492065,80.04081632653062,973.0,441,6.031746031746032,2.225053078556263,30.84,ğŸŒ¸RDAğŸŒ¸,RDA
Ambient,466,143,2.2124463519313307,83.95064377682404,1031.0,466,6.103004291845494,2.2298387096774195,30.69,,
Pobolog (breakthrough),1009,322,2.23191278493558,92.67294350842418,2252.0,1009,6.840436075322101,2.2396535129932627,31.91,Pobolog (breakthrough),Pobolog (breakthrough)
Manutech,658,228,2.2279635258358663,99.14741641337386,1466.0,658,7.089665653495441,2.239825581395349,34.65,Manutech,Manutech
CrediCor,537,156,2.2346368715083798,74.51582867783985,1200.0,537,5.4636871508379885,2.248677248677249,29.05,CrediCor,CrediCor
ğŸŒ¸ThermopoliğŸŒ¸,189,65,2.2116402116402116,76.1005291005291,418.0,189,5.4338624338624335,2.2511415525114153,34.39,ğŸŒ¸ç²¾çµçƒ­èˆğŸŒ¸,ç²¾çµçƒ­èˆ
Runciter Associates,207,64,2.217391304347826,116.81642512077295,459.0,207,8.33816425120773,2.2531645569620253,30.92,æœ—è¥¿æ–¯è”åˆå…¬å¸,æœ—è¥¿æ–¯è”åˆå…¬å¸
Aurorai,190,74,2.2157894736842105,55.410526315789475,421.0,190,3.031578947368421,2.2545454545454544,38.95,Aurorai,Aurorai
Project Workshop,119,35,2.19327731092437,116.84873949579831,261.0,119,8.470588235294118,2.2550335570469797,29.41,Project Workshop,Project Workshop
ğŸŒ¸Integrated MicroorganismsğŸŒ¸,927,305,2.250269687162891,91.83495145631068,2086.0,927,6.35059331175836,2.258098223615465,32.9,ğŸŒ¸å¾®ç”Ÿç‰©æ˜Ÿå°˜ğŸŒ¸,å¾®ç”Ÿç‰©æ˜Ÿå°˜
ğŸŒ¸Energy Saving EcologyğŸŒ¸,462,151,2.242424242424242,77.21645021645021,1036.0,462,5.688311688311688,2.258130081300813,32.68,ğŸŒ¸èŠ‚èƒ½ç”Ÿæ€ğŸŒ¸,èŠ‚èƒ½ç”Ÿæ€
Helion (breakthrough),372,97,2.239247311827957,82.49462365591398,833.0,372,7.10752688172043,2.2587064676616917,26.08,Helion (breakthrough),Helion (breakthrough)
Curiosity II,133,48,2.210526315789474,113.47368421052632,294.0,133,8.015037593984962,2.263803680981595,36.09,Curiosity II,Curiosity II
Thorgate (breakthrough),206,53,2.233009708737864,103.14077669902913,460.0,206,8.432038834951456,2.266949152542373,25.73,Thorgate (breakthrough),Thorgate (breakthrough)
Sagitta Frontier Services,405,123,2.2617283950617284,89.66913580246914,916.0,405,6.6987654320987655,2.27816091954023,30.37,Sagitta Frontier Services,Sagitta Frontier Services
Septem Tribus,188,62,2.24468085106383,88.95212765957447,422.0,188,6.76595744680851,2.279816513761468,32.98,Septem Tribus,Septem Tribus
ğŸŒ¸Scolex IndustriesğŸŒ¸,831,256,2.2767749699157642,90.63056558363418,1892.0,831,6.50661853188929,2.2845528455284554,30.81,ğŸŒ¸æ˜Ÿæ ¸å·¥ä¸šğŸŒ¸,æ˜Ÿæ ¸å·¥ä¸š
Pharmacy Union,219,64,2.2648401826484017,94.31506849315069,496.0,219,7.474885844748859,2.2931726907630523,29.22,åˆ¶è¯è”ç›Ÿ,åˆ¶è¯è”ç›Ÿ
ğŸŒ¸Shinra TechğŸŒ¸,919,270,2.2905331882480957,91.05223068552775,2105.0,919,6.551686615886833,2.297154899894626,29.38,ğŸŒ¸æ¨±èŠ±ç”µğŸŒ¸,æ¨±èŠ±ç”µ
Robin Haulings,74,21,2.2162162162162162,96.67567567567568,164.0,74,7.54054054054054,2.298076923076923,28.38,ç½—å®¾è¿è¾“,ç½—å®¾è¿è¾“
Valley Trust (breakthrough),1408,423,2.3011363636363638,93.8359375,3240.0,1408,6.924715909090909,2.3052851182197496,30.04,Valley Trust (breakthrough),Valley Trust (breakthrough)
Polaris,500,144,2.306,74.34,1153.0,500,5.566,2.3169811320754716,28.8,åŒ—ææ˜Ÿ,åŒ—ææ˜Ÿ
Inventrix (breakthrough),635,179,2.310236220472441,98.41259842519685,1467.0,635,7.645669291338582,2.318796992481203,28.19,Inventrix (breakthrough),Inventrix (breakthrough)
Viron (breakthrough),801,244,2.3146067415730336,91.71535580524345,1854.0,801,6.925093632958801,2.32129963898917,30.46,Viron (breakthrough),Viron (breakthrough)
Polyphemos (breakthrough),63,20,2.238095238095238,88.33333333333333,141.0,63,7.873015873015873,2.3225806451612905,31.75,Polyphemos (breakthrough),Polyphemos (breakthrough)
Mons Insurance,38,9,2.1842105263157894,88.8157894736842,83.0,38,8.68421052631579,2.323529411764706,23.68,è’™æ–¯ä¿é™©,è’™æ–¯ä¿é™©
Teractor (breakthrough),1106,322,2.325497287522604,92.50361663652802,2572.0,1106,6.754068716094032,2.330105633802817,29.11,Teractor (breakthrough),Teractor (breakthrough)
Saturn Systems,456,114,2.331140350877193,94.17324561403508,1063.0,456,7.379385964912281,2.3415637860082303,25.0,Saturn Systems,Saturn Systems
Martian Insurance Group,59,12,2.2711864406779663,93.28813559322033,134.0,59,7.864406779661017,2.348314606741573,20.34,ç«æ˜Ÿä¿é™©é›†å›¢,ç«æ˜Ÿä¿é™©é›†å›¢
TeiAi Group,70,22,2.2857142857142856,124.0,160.0,70,8.771428571428572,2.35,31.43,å¸çˆ±èµŒåœº,å¸çˆ±èµŒåœº
Astrodrill,67,22,2.283582089552239,74.92537313432835,153.0,67,8.164179104477611,2.350515463917526,32.84,å¤©ä½“é’»äº•,å¤©ä½“é’»äº•
Point Luna,1304,417,2.353527607361963,99.08205521472392,3069.0,1304,6.933282208588957,2.3568215892053974,31.98,Point Luna,Point Luna
Hecate Speditions,289,87,2.342560553633218,90.83737024221453,677.0,289,6.0,2.3573667711598745,30.1,èµ«å¡å¿’æ¢é™©é˜Ÿ,èµ«å¡å¿’æ¢é™©é˜Ÿ
StormCraft Incorporated (breakthrough),566,145,2.34982332155477,88.71024734982332,1330.0,566,6.706713780918728,2.3573825503355703,25.62,StormCraft Incorporated (breakthrough),StormCraft Incorporated (breakthrough)
Lakefront Resorts,434,105,2.359447004608295,76.39400921658986,1024.0,434,6.011520737327189,2.3685344827586206,24.19,æ¹–ç•”åº¦å‡åŒº,æ¹–ç•”åº¦å‡åŒº
Bio-Sol,111,32,2.3333333333333335,88.65765765765765,259.0,111,7.054054054054054,2.368794326241135,28.83,,
Kuiper Cooperative,58,14,2.310344827586207,87.62068965517241,134.0,58,8.39655172413793,2.375,24.14,Kuiper Cooperative,Kuiper Cooperative
Cheung Shing MARS,116,25,2.3448275862068964,100.5,272.0,116,8.75,2.3767123287671232,21.55,Cheung Shing MARS,Cheung Shing MARS
Labour Union,182,50,2.357142857142857,48.8021978021978,429.0,182,2.8241758241758244,2.3773584905660377,27.47,Labour Union,Labour Union
Poseidon,729,204,2.373113854595336,90.38683127572017,1730.0,729,6.773662551440329,2.3781291172595522,27.98,Poseidon,Poseidon
SolBank,38,11,2.289473684210526,110.73684210526316,87.0,38,7.921052631578948,2.3823529411764706,28.95,SolBank,SolBank
Factorum (breakthrough),400,111,2.375,100.785,950.0,400,7.905,2.383720930232558,27.75,Factorum (breakthrough),Factorum (breakthrough)
Arklight (breakthrough),426,114,2.375586854460094,96.27464788732394,1012.0,426,7.002347417840376,2.383771929824561,26.76,Arklight (breakthrough),Arklight (breakthrough)
Chimera,79,21,2.3417721518987342,99.22784810126582,185.0,79,8.139240506329115,2.385321100917431,26.58,å¥‡ç¾æ‹‰,å¥‡ç¾æ‹‰
Crescent Research Association,31,6,2.2903225806451615,112.96774193548387,71.0,31,8.903225806451612,2.3934426229508197,19.35,æœˆç‰™ç ”ç©¶è”ç›Ÿ,æœˆç‰™ç ”ç©¶è”ç›Ÿ
Prism,712,227,2.390449438202247,103.50983146067416,1702.0,712,6.845505617977528,2.394878706199461,31.88,æ£±é•œå…‰è°±ç ”ç©¶å®¤,æ£±é•œå…‰è°±ç ”ç©¶å®¤
Aristarchus,146,43,2.3767123287671232,91.86986301369863,347.0,146,6.719178082191781,2.397727272727273,29.45,Aristarchus,Aristarchus
ğŸŒ¸TyrellğŸŒ¸,605,160,2.3933884297520662,90.50413223140495,1448.0,605,6.5636363636363635,2.398425196850394,26.45,ğŸŒ¸æ³°ç‘å°”å…¬å¸ğŸŒ¸,æ³°ç‘å°”å…¬å¸
Steelaris,92,22,2.369565217391304,76.16304347826087,218.0,92,6.1521739130434785,2.401639344262295,23.91,é’¢ä¹‹æ˜Ÿ,é’¢ä¹‹æ˜Ÿ
ğŸŒ¸Ark NovağŸŒ¸,750,217,2.3986666666666667,95.81733333333334,1799.0,750,6.508,2.4025641025641025,28.93,ğŸŒ¸æ–¹èˆŸåŠ¨ç‰©å›­ğŸŒ¸,æ–¹èˆŸåŠ¨ç‰©å›­
Mining guild (breakthrough),286,63,2.395104895104895,87.18531468531468,685.0,286,7.3776223776223775,2.4050632911392404,22.03,Mining guild (breakthrough),Mining guild (breakthrough)
Luna Chain,365,104,2.410958904109589,91.11780821917809,880.0,365,6.542465753424658,2.4177215189873418,28.49,è¿æœˆ,è¿æœˆ
ğŸŒ¸Mining CorpğŸŒ¸,764,205,2.424083769633508,85.36387434554973,1852.0,764,6.361256544502618,2.4269521410579347,26.83,ğŸŒ¸é’¢é“ç²¾ç‚¼ğŸŒ¸,é’¢é“ç²¾ç‚¼
Colonial One,35,9,2.3714285714285714,120.71428571428571,83.0,35,9.028571428571428,2.4307692307692306,25.71,Colonial One,Colonial One
Terralabs Research (breakthrough),476,139,2.4348739495798317,91.96218487394958,1159.0,476,6.888655462184874,2.438735177865613,29.2,Terralabs Research (breakthrough),Terralabs Research (breakthrough)
Incite Ender,319,87,2.4420062695924765,82.72100313479623,779.0,319,5.899686520376176,2.4469914040114613,27.27,Incite Ender,Incite Ender
ğŸŒ¸EliteTechğŸŒ¸,797,221,2.449184441656211,83.41028858218318,1952.0,797,6.0928481806775405,2.4510278113663846,27.73,ğŸŒ¸ç²¾è‹±å›é¦ˆğŸŒ¸,ç²¾è‹±å›é¦ˆ
Gagarin Mobile Base,54,12,2.425925925925926,86.64814814814815,131.0,54,7.425925925925926,2.4523809523809526,22.22,Gagarin Mobile Base,Gagarin Mobile Base
Recyclon (breakthrough),165,30,2.4606060606060605,83.50909090909092,406.0,165,7.115151515151515,2.466666666666667,18.18,Recyclon (breakthrough),Recyclon (breakthrough)
ğŸŒ¸Green RingğŸŒ¸,480,125,2.466666666666667,87.68125,1184.0,480,6.489583333333333,2.4686274509803923,26.04,ğŸŒ¸ç»¿ç¯ğŸŒ¸,ç»¿ç¯
Palladin Shipping,98,19,2.479591836734694,78.70408163265306,243.0,98,7.5,2.484375,19.39,Palladin Shipping,Palladin Shipping
ğŸŒ¸Weyland YutaniğŸŒ¸,1017,235,2.5073746312684366,85.99115044247787,2550.0,1017,6.177974434611603,2.507163323782235,23.11,ğŸŒ¸éŸ¦å…°å¾·-å°¤å¦å°¼é›†å›¢ğŸŒ¸,éŸ¦å…°å¾·-å°¤å¦å°¼é›†å›¢
Void,336,84,2.511904761904762,66.06547619047619,844.0,336,4.785714285714286,2.510928961748634,25.0,Void,Void
ğŸŒ¸StarlinkDrifterğŸŒ¸,625,161,2.5152,91.6928,1572.0,625,6.4432,2.5145038167938933,25.76,ğŸŒ¸æ˜Ÿé“¾æ¼‚æµè€…ğŸŒ¸,æ˜Ÿé“¾æ¼‚æµè€…
é›©å–µç§‘å­¦æ¢æµ‹å™¨,841,211,2.516052318668252,85.70630202140309,2116.0,841,6.170035671819263,2.515499425947187,25.09,é›©å–µç§‘å­¦æ¢æµ‹å™¨,é›©å–µç§‘å­¦æ¢æµ‹å™¨
ğŸŒ¸åŒè½¨è·ƒè¿ğŸŒ¸,278,72,2.5179856115107913,92.53956834532374,700.0,278,6.651079136690647,2.5162337662337664,25.9,ğŸŒ¸åŒè½¨è·ƒè¿ğŸŒ¸,åŒè½¨è·ƒè¿
Tycho Magnetics,469,110,2.518123667377399,98.68443496801706,1181.0,469,7.6247334754797444,2.5170340681362724,23.45,ç¬¬è°·ç£åŠ›,ç¬¬è°·ç£åŠ›
Mars Maths,132,33,2.537878787878788,102.84848484848484,335.0,132,7.666666666666667,2.5308641975308643,25.0,Mars Maths,Mars Maths
Odyssey,30,5,2.6,68.96666666666667,78.0,30,8.133333333333333,2.55,16.67,å¥¥å¾·èµ›,å¥¥å¾·èµ›
Midas,568,154,2.556338028169014,69.20950704225352,1452.0,568,4.823943661971831,2.5535117056856187,27.11,Midas,Midas
Utopia Invest,79,13,2.6202531645569622,82.31645569620254,207.0,79,6.7974683544303796,2.5871559633027523,16.46,ä¹Œæ‰˜é‚¦æŠ•èµ„è®¡åˆ’,ä¹Œæ‰˜é‚¦æŠ•èµ„è®¡åˆ’
Playwrights,331,80,2.6012084592145017,76.8882175226586,861.0,331,6.2749244712990935,2.592797783933518,24.17,Playwrights,Playwrights
Junk Ventures,200,47,2.615,98.77,523.0,200,7.63,2.6,23.5,Junk Ventures,Junk Ventures
Pristar (breakthrough),78,16,2.641025641025641,92.58974358974359,206.0,78,7.564102564102564,2.6018518518518516,20.51,Pristar (breakthrough),Pristar (breakthrough)
ğŸŒ¸PoliticalReformğŸŒ¸,248,57,2.653225806451613,75.48790322580645,658.0,248,5.931451612903226,2.6366906474820144,22.98,ğŸŒ¸åˆ¶åº¦æ”¹é©ğŸŒ¸,åˆ¶åº¦æ”¹é©
Collegium Copernicus,261,55,2.6743295019157087,87.12260536398468,698.0,261,6.735632183908046,2.656357388316151,21.07,å“¥ç™½å°¼å­¦é™¢,å“¥ç™½å°¼å­¦é™¢
