prelude_name,total_uses,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Project Eden,377,141,2.092838196286472,74.51193633952255,789.0,377,2.103359173126615,37.4,伊甸园计划,伊甸园计划
Soil Bacteria,354,130,2.175141242937853,82.50282485875707,770.0,354,2.184065934065934,36.72,土壤细菌,土壤细菌
Suitable Infrastructure,346,121,2.213872832369942,86.6242774566474,766.0,346,2.2219101123595504,34.97,适宜基础设施,适宜基础设施
World Government Advisor,331,113,2.2749244712990935,73.94561933534743,753.0,331,2.281524926686217,34.14,世界政府顾问,世界政府顾问
Supply Drop,1029,301,2.2847424684159376,80.05830903790087,2351.0,1029,2.2868142444658326,29.25,空投补给,空投补给
WG Partnership,59,21,2.2542372881355934,80.88135593220339,133.0,59,2.289855072463768,35.59,世界政府小伙伴,世界政府小伙伴
Cloud Vortex Outpost,267,81,2.2883895131086143,82.02247191011236,611.0,267,2.296028880866426,30.34,云涡前哨站,云涡前哨站
Experimental Forest,977,295,2.3029682702149437,76.27226202661208,2250.0,977,2.3049645390070923,30.19,实验林场,实验林场
Planetary Alliance,1090,336,2.310091743119266,84.00825688073394,2518.0,1090,2.311818181818182,30.83,行星联盟,行星联盟
Trade Advance,585,168,2.3213675213675216,82.68205128205128,1358.0,585,2.32436974789916,28.72,Trade Advance,Trade Advance
Merger,120,35,2.316666666666667,83.40833333333333,278.0,120,2.330769230769231,29.17,企业合并,企业合并
Survey Mission,962,294,2.3295218295218296,80.24428274428274,2241.0,962,2.331275720164609,30.56,探索任务,探索任务
Research Grant,34,13,2.2941176470588234,95.02941176470588,78.0,34,2.340909090909091,38.24,研发资助,研发资助
Corridors of Power,248,76,2.346774193548387,83.00806451612904,582.0,248,2.352713178294574,30.65,权力走廊,权力走廊
Venus First,970,301,2.3577319587628867,82.3381443298969,2287.0,970,2.3591836734693876,31.03,金星优先,金星优先
Mohole,23,4,2.3043478260869565,74.17391304347827,53.0,23,2.3636363636363638,17.39,超深钻探,超深钻探
High Circles,523,156,2.361376673040153,80.47227533460803,1235.0,523,2.3639774859287055,29.83,高层圈子,高层圈子
Corporate Archives,556,173,2.368705035971223,82.91906474820144,1317.0,556,2.371024734982332,31.12,公司档案馆,公司档案馆
Venus Contract,456,149,2.3684210526315788,82.20394736842105,1080.0,456,2.371244635193133,32.68,金星合同,金星合同
Great Aquifer,856,231,2.375,70.0105140186916,2033.0,856,2.376443418013857,26.99,大型含水层,大型含水层
By-Election,16,5,2.3125,90.5625,37.0,16,2.3846153846153846,31.25,By-Election,By-Election
Terraforming Deal,288,78,2.3819444444444446,71.79166666666667,686.0,288,2.3859060402684564,27.08,地球化交易,地球化交易
Hydrogen Bombardment,535,147,2.385046728971963,81.55514018691589,1276.0,535,2.387155963302752,27.48,氢弹攻击,氢弹攻击
Strategic Base Planning,827,236,2.392986698911729,78.13905683192262,1979.0,827,2.3942652329749103,28.54,战略基础规划,战略基础规划
CO² Reducers,801,214,2.397003745318352,79.15480649188514,1920.0,801,2.3982737361282367,26.72,CO₂减排器,CO₂减排器
Valuable Gases:Pathfinders,555,155,2.4,81.27747747747748,1332.0,555,2.4017699115044246,27.93,贵重气体：探路者,贵重气体：探路者
Executive Order,513,152,2.4074074074074074,77.97270955165692,1235.0,513,2.4091778202676863,29.63,Executive Order,Executive Order
Acquired Space Agency,1116,316,2.417562724014337,80.0421146953405,2698.0,1116,2.4182948490230904,28.32,收购太空总署,收购太空总署
Atmospheric Enhancers,767,220,2.4211212516297262,76.31942633637549,1857.0,767,2.4221364221364223,28.68,大气增强器,大气增强器
Nitrate Reducers,180,50,2.4277777777777776,82.32222222222222,437.0,180,2.431578947368421,27.78,硝酸盐还原剂,硝酸盐还原剂
Space Lanes,379,96,2.440633245382586,83.33245382585751,925.0,379,2.442159383033419,25.33,太空航道,太空航道
Anti-desertification Techniques,94,18,2.4361702127659575,76.57446808510639,229.0,94,2.4423076923076925,19.15,抗沙漠化科技,抗沙漠化科技
Research Grant:Pathfinders,1309,328,2.4430863254392667,79.53323147440794,3198.0,1309,2.4435178165276725,25.06,研发资助：探路者,研发资助：探路者
Nobel Prize,860,238,2.444186046511628,82.28255813953488,2102.0,860,2.4448275862068964,27.67,诺贝尔奖,诺贝尔奖
Early Colonization,676,171,2.4571005917159763,80.65680473372781,1661.0,676,2.457725947521866,25.3,早期殖民,早期殖民
Metal-Rich Asteroid,906,234,2.477924944812362,76.73951434878587,2245.0,906,2.478165938864629,25.83,富含金属的小行星,富含金属的小行星
Aquifer Turbines,549,141,2.4790528233151186,77.21857923497268,1361.0,549,2.479427549194991,25.68,含水层涡轮机,含水层涡轮机
Smelting Plant,433,112,2.484988452655889,65.6743648960739,1076.0,433,2.485327313769752,25.87,冶炼厂,冶炼厂
Board of Directors,892,250,2.4854260089686098,80.31502242152466,2217.0,892,2.4855875831485585,28.03,董事会,董事会
Venus L1 Shade,142,39,2.4859154929577465,80.19014084507042,353.0,142,2.486842105263158,27.46,金星 L1 遮阳板,金星 L1 遮阳板
Polar Industries,217,47,2.488479262672811,66.82488479262673,540.0,217,2.488986784140969,21.66,极地工业,极地工业
Eccentric Sponsor,626,156,2.5063897763578273,77.23801916932908,1569.0,626,2.506289308176101,24.92,奇特的赞助者,奇特的赞助者
UNMI Contractor,719,184,2.5076495132127956,79.93880389429764,1803.0,719,2.5075445816186557,25.59,UNMI 承包商,UNMI 承包商
Biosphere Support,31,9,2.5161290322580645,76.48387096774194,78.0,31,2.5121951219512195,29.03,生物圈支援载体,生物圈支援载体
Nitrogen Shipment,25,6,2.52,82.0,63.0,25,2.5142857142857142,24.0,氮气运输,氮气运输
Vital Colony,1170,287,2.5153846153846153,76.14615384615385,2943.0,1170,2.5152542372881355,24.53,重点殖民地,重点殖民地
Main Belt Asteroids,41,9,2.5365853658536586,80.36585365853658,104.0,41,2.5294117647058822,21.95,主带小行星,主带小行星
Battery Shipment,447,115,2.530201342281879,76.13646532438479,1131.0,447,2.5295404814004376,25.73,电池运输,电池运输
Crew Training,632,146,2.5316455696202533,79.44303797468355,1600.0,632,2.5311526479750777,23.1,机组人员培训,机组人员培训
Loan,1091,258,2.535288725939505,75.76718606782768,2766.0,1091,2.5349682107175293,23.65,贷款,贷款
Early Settlement,216,43,2.5416666666666665,76.64814814814815,549.0,216,2.5398230088495577,19.91,前期据点,前期据点
Political Uprising,62,15,2.5483870967741935,75.61290322580645,158.0,62,2.5416666666666665,24.19,政变,政变
Personal Agenda,351,84,2.561253561253561,75.55555555555556,899.0,351,2.559556786703601,23.93,个人议程,个人议程
Research Network,753,183,2.5644090305444887,80.132802124834,1931.0,753,2.563564875491481,24.3,研究网络,研究网络
Focused Organization,463,118,2.5658747300215983,78.67602591792657,1188.0,463,2.5644820295983086,25.49,专注组织,专注组织
Huge Asteroid,244,60,2.569672131147541,54.717213114754095,627.0,244,2.5669291338582676,24.59,巨型小行星,巨型小行星
Old Mining Colony,776,174,2.577319587628866,79.3917525773196,2000.0,776,2.5763358778625953,22.42,旧采矿殖民地,旧采矿殖民地
The New Space Race,180,43,2.5833333333333335,82.11666666666666,465.0,180,2.5789473684210527,23.89,新的太空竞赛,新的太空竞赛
Design Company,315,79,2.5841269841269843,75.47936507936508,814.0,315,2.5815384615384613,25.08,公司设计,公司设计
Deep Space Operations,312,74,2.5961538461538463,73.73397435897436,810.0,312,2.593167701863354,23.72,深空操作,深空操作
Rise To Power,91,24,2.6043956043956045,71.85714285714286,237.0,91,2.594059405940594,26.37,权力崛起,权力崛起
Mohole Excavation,32,7,2.625,73.375,84.0,32,2.5952380952380953,21.88,超深钻探挖掘工程,超深钻探挖掘工程
Supplier,584,122,2.5976027397260273,76.28767123287672,1517.0,584,2.595959595959596,20.89,供应商,供应商
Donation,1000,226,2.602,75.209,2602.0,1000,2.600990099009901,22.6,捐赠,捐赠
Aerospace Mission,231,59,2.606060606060606,78.35930735930737,602.0,231,2.6016597510373445,25.54,航天任务,航天任务
Recession,169,43,2.6094674556213016,77.42603550295858,441.0,169,2.6033519553072626,25.44,经济衰退,经济衰退
Mining Operations,529,109,2.608695652173913,76.92627599243856,1380.0,529,2.6066790352504636,20.6,采矿作业,采矿作业
Double Down,1075,234,2.608372093023256,72.30046511627907,2804.0,1075,2.6073732718894007,21.77,双倍下注,双倍下注
Colony Trade Hub,409,93,2.6185819070904643,78.26161369193154,1071.0,409,2.615751789976134,22.74,殖民地贸易中心,殖民地贸易中心
Martian Industries,394,85,2.6294416243654823,77.52030456852792,1036.0,394,2.626237623762376,21.57,火星工业,火星工业
Metals Company,140,29,2.6357142857142857,74.22857142857143,369.0,140,2.6266666666666665,20.71,金属公司,金属公司
Ecology Experts,65,12,2.646153846153846,78.56923076923077,172.0,65,2.6266666666666665,18.46,生态学专家,生态学专家
Applied Science,176,41,2.6363636363636362,82.01704545454545,464.0,176,2.629032258064516,23.3,应用科学,应用科学
Orbital Construction Yard,378,76,2.634920634920635,77.05820105820106,996.0,378,2.631443298969072,20.11,轨道建造场,轨道建造场
Giant Solar Collector,280,58,2.65,76.93214285714286,742.0,280,2.6448275862068966,20.71,巨型太阳能收集器,巨型太阳能收集器
Business Empire,163,28,2.6564417177914113,81.11042944785277,433.0,163,2.647398843930636,17.18,商业帝国,商业帝国
Dome Farming,30,8,2.7,75.83333333333333,81.0,30,2.65,26.67,圆顶农业,圆顶农业
Accumulated Knowledge,239,51,2.6778242677824267,77.18410041841004,640.0,239,2.6706827309236947,21.34,积累知识,积累知识
Industrial Complex,46,9,2.717391304347826,75.0,125.0,46,2.6785714285714284,19.57,工业综合体,工业综合体
Io Research Outpost,240,51,2.6875,77.87916666666666,645.0,240,2.68,21.25,木卫一研究前哨,木卫一研究前哨
Self-Sufficient Settlement,301,58,2.6943521594684388,72.85049833887044,811.0,301,2.688102893890675,19.27,自给自足的据点,自给自足的据点
Biofuels,32,6,2.75,71.5625,88.0,32,2.6904761904761907,18.75,生物燃料,生物燃料
Floating Trade Hub,210,41,2.719047619047619,77.31428571428572,571.0,210,2.709090909090909,19.52,漂浮贸易站,漂浮贸易站
Power Generation,370,64,2.7324324324324323,76.77027027027027,1011.0,370,2.7263157894736842,17.3,发电,发电
Biolab,137,25,2.7518248175182483,78.5912408759124,377.0,137,2.7346938775510203,18.25,生物实验室,生物实验室
Experienced Martians,66,12,2.772727272727273,74.31818181818181,183.0,66,2.736842105263158,18.18,经验丰富的火星人,经验丰富的火星人
Galilean Mining,189,31,2.767195767195767,77.03703703703704,523.0,189,2.7537688442211055,16.4,伽利略矿业,伽利略矿业
Preservation Program,49,9,2.816326530612245,77.81632653061224,138.0,49,2.76271186440678,18.37,保护计划,保护计划
Valuable Gases,16,3,2.9375,78.4375,47.0,16,2.769230769230769,18.75,贵重气体,贵重气体
Prospecting,251,48,2.7928286852589643,69.55776892430279,701.0,251,2.781609195402299,19.12,勘探,勘探
Allied Bank,461,87,2.8134490238611716,74.83080260303687,1297.0,461,2.8067940552016983,18.87,联合银行,联合银行
