user_id,generations,game_count,max_score,max_cards_played,avg_score,avg_cards_played,user_name
13f9446ad048,4,8,85,26.0,69.75,20.75,6mmmm
13f9446ad048,5,17,110,46.0,82.24,29.59,6mmmm
13f9446ad048,6,11,145,71.0,95.0,42.0,6mmmm
13f9446ad048,7,6,203,94.0,122.17,52.83,6mmmm
141c3a29fa52,8,1,94,33.0,94.0,33.0,steamriki
141c3a29fa52,10,2,96,54.0,92.0,45.5,steamriki
1637240fb98f,5,4,81,44.0,78.25,25.75,点点
1637240fb98f,6,3,90,18.0,88.67,14.67,点点
1637240fb98f,7,2,89,40.0,79.0,33.0,点点
1637240fb98f,8,2,100,51.0,94.0,41.5,点点
1637240fb98f,9,1,103,46.0,103.0,46.0,点点
181fafd4960c,4,1,66,21.0,66.0,21.0,wjcxymy
181fafd4960c,5,5,88,42.0,77.0,33.0,wjcxymy
181fafd4960c,6,9,129,70.0,92.22,42.38,wjcxymy
181fafd4960c,7,1,117,57.0,117.0,57.0,wjcxymy
193d7a57381c,4,1,57,17.0,57.0,17.0,martin
193d7a57381c,5,7,78,27.0,65.71,20.86,martin
193d7a57381c,6,21,92,35.0,72.1,23.48,martin
193d7a57381c,7,37,124,50.0,82.84,32.03,martin
193d7a57381c,8,27,118,59.0,93.15,37.59,martin
193d7a57381c,9,3,123,54.0,110.67,44.67,martin
19b32659a584,4,1,48,12.0,48.0,12.0,unnamed
19b32659a584,6,1,87,25.0,87.0,25.0,unnamed
19ed288a5ec9,4,2,54,22.0,48.5,19.5,bsylh
19ed288a5ec9,5,38,97,65.0,68.87,29.32,bsylh
19ed288a5ec9,6,37,123,54.0,75.16,34.11,bsylh
19ed288a5ec9,7,11,169,75.0,95.91,45.18,bsylh
1c4298faa03b,5,2,58,31.0,54.0,30.5,kingofweisuo
1c4298faa03b,6,2,81,47.0,77.5,42.5,kingofweisuo
1c808236b9a4,7,2,88,25.0,73.0,25.0,莉莉
1c808236b9a4,8,2,114,33.0,96.0,32.5,莉莉
1d1e63383e09,5,1,43,23.0,43.0,23.0,火星监狱改造积极分子
1d1e63383e09,6,1,68,33.0,68.0,33.0,火星监狱改造积极分子
1d1e63383e09,7,1,67,25.0,67.0,25.0,火星监狱改造积极分子
1e6dac6d16e2,6,2,231,110.0,192.0,97.5,yuan
1e6dac6d16e2,7,3,102,52.0,91.0,43.0,yuan
1e6dac6d16e2,8,3,157,105.0,114.33,70.0,yuan
1eaa851a54e7,7,1,60,32.0,60.0,32.0,adonkey
1eaa851a54e7,8,1,52,37.0,52.0,37.0,adonkey
1f71e23ff3c4,4,6,72,34.0,55.17,25.0,xiyue
1f71e23ff3c4,5,34,104,58.0,64.91,30.71,xiyue
1f71e23ff3c4,6,21,122,66.0,83.67,40.38,xiyue
1f71e23ff3c4,7,7,127,60.0,104.71,51.29,xiyue
1f756f986b89,9,3,101,56.0,97.67,48.67,kimty
1f756f986b89,11,1,124,51.0,124.0,51.0,kimty
20a57d8251ab,5,5,74,34.0,57.2,27.6,wuser
20a57d8251ab,6,4,80,44.0,64.0,32.0,wuser
20a57d8251ab,7,2,120,64.0,109.0,62.0,wuser
22e0f97b8ec7,8,2,65,28.0,56.5,24.5,诗缘
23d55973c44b,4,1,45,16.0,45.0,16.0,Huasong
23d55973c44b,5,13,89,33.0,65.31,24.31,Huasong
23d55973c44b,6,12,82,45.0,70.58,29.67,Huasong
23d55973c44b,7,4,86,34.0,79.5,28.67,Huasong
2437e5810ba1,5,3,83,29.0,66.33,24.67,xiaojiang
2437e5810ba1,6,9,103,52.0,78.89,33.0,xiaojiang
2437e5810ba1,7,4,101,55.0,83.5,39.25,xiaojiang
2450c74ea170,4,2,50,29.0,45.0,27.0,晓黑
2450c74ea170,5,3,92,49.0,54.67,30.67,晓黑
2450c74ea170,6,2,69,36.0,68.5,31.5,晓黑
2450c74ea170,7,2,107,71.0,98.0,68.5,晓黑
24c089f92bbe,7,9,77,26.0,63.0,19.89,老王
24c089f92bbe,8,25,124,60.0,81.0,26.92,老王
24c089f92bbe,9,20,112,54.0,88.65,35.65,老王
24c089f92bbe,10,5,122,48.0,96.4,34.0,老王
24c089f92bbe,11,1,92,30.0,92.0,30.0,老王
25aeedfe4791,3,1,41,9.0,41.0,9.0,囧囧打人
25aeedfe4791,4,1,52,16.0,52.0,16.0,囧囧打人
25aeedfe4791,5,10,96,53.0,76.7,28.1,囧囧打人
25aeedfe4791,6,9,118,65.0,94.33,36.89,囧囧打人
25aeedfe4791,7,1,34,27.0,34.0,27.0,囧囧打人
2ae4d2235399,7,1,62,34.0,62.0,34.0,疯法师
2ae4d2235399,9,1,86,33.0,86.0,33.0,疯法师
2ae4d2235399,11,1,119,62.0,119.0,62.0,疯法师
2beee8801c2a,8,1,93,41.0,93.0,41.0,打脸哥
2beee8801c2a,9,1,112,35.0,112.0,35.0,打脸哥
2d6fc80f3e8b,5,2,94,44.0,71.0,39.5,彩虹
2d6fc80f3e8b,6,1,26,,26.0,,彩虹
2d6fc80f3e8b,8,3,109,71.0,95.67,45.67,彩虹
2d6fc80f3e8b,9,1,110,59.0,110.0,59.0,彩虹
2d6fc80f3e8b,10,1,175,81.0,175.0,81.0,彩虹
2d8d33416cd1,4,1,61,19.0,61.0,19.0,铃铛
2d8d33416cd1,6,5,150,70.0,107.2,50.6,铃铛
2d8d33416cd1,7,2,136,57.0,88.0,42.0,铃铛
2d8d33416cd1,8,1,112,67.0,112.0,67.0,铃铛
2dd9eda81d36,3,1,52,13.0,52.0,13.0,雪櫻
2dd9eda81d36,4,22,70,27.0,53.64,15.36,雪櫻
2dd9eda81d36,5,52,96,47.0,66.98,23.92,雪櫻
2dd9eda81d36,6,35,111,65.0,79.63,31.23,雪櫻
2dd9eda81d36,7,6,118,69.0,97.17,48.33,雪櫻
2e4694f1a92d,5,1,63,20.0,63.0,20.0,奶牛
2e4694f1a92d,6,1,89,32.0,89.0,32.0,奶牛
2f05a8da42fe,4,12,75,29.0,57.58,21.42,吴用之人
2f05a8da42fe,5,39,104,53.0,72.05,33.33,吴用之人
2f05a8da42fe,6,44,170,99.0,86.57,37.98,吴用之人
2f05a8da42fe,7,5,180,93.0,121.2,56.6,吴用之人
2f48d358bdc1,7,3,62,34.0,60.33,31.67,dddzzz
2f48d358bdc1,8,1,57,32.0,57.0,32.0,dddzzz
2f48d358bdc1,9,3,110,52.0,93.67,45.0,dddzzz
2f7494e9d3a0,7,1,75,29.0,75.0,29.0,183454241
2f7494e9d3a0,8,1,71,29.0,71.0,29.0,183454241
2f7494e9d3a0,10,1,94,31.0,94.0,31.0,183454241
2fc3e9b6d3fc,7,1,78,25.0,78.0,25.0,kahala
2fc3e9b6d3fc,8,3,143,78.0,117.0,57.33,kahala
2fc3e9b6d3fc,9,7,137,67.0,103.86,50.0,kahala
2fc3e9b6d3fc,10,2,124,77.0,107.0,63.0,kahala
322ed467ae60,7,1,48,25.0,48.0,25.0,wanghaozhe
322ed467ae60,8,2,132,75.0,126.0,63.0,wanghaozhe
322ed467ae60,9,1,-464,51.0,-464.0,51.0,wanghaozhe
32b187c7c87d,4,1,47,15.0,47.0,15.0,fanhua
32b187c7c87d,7,1,68,33.0,68.0,33.0,fanhua
32bfb3f9a500,5,1,63,26.0,63.0,26.0,rjw
32bfb3f9a500,6,2,70,41.0,68.5,40.5,rjw
32bfb3f9a500,7,1,119,77.0,119.0,77.0,rjw
342cabe8d426,4,1,33,,33.0,,仁者无敌
342cabe8d426,6,3,66,21.0,53.0,21.0,仁者无敌
342cabe8d426,7,1,68,,68.0,,仁者无敌
34506382475d,5,3,93,40.0,75.67,38.33,awaker
34506382475d,6,4,114,56.0,100.75,46.0,awaker
34fb260b5198,7,1,74,39.0,74.0,39.0,制裁苏总的黄sir
34fb260b5198,9,1,108,74.0,108.0,74.0,制裁苏总的黄sir
38371e26eb09,9,1,68,26.0,68.0,26.0,keyangkeyang666
38371e26eb09,10,2,95,38.0,90.0,35.5,keyangkeyang666
38d8e3fdd892,8,2,81,52.0,79.5,45.0,麦克斯韦
38d8e3fdd892,9,1,78,23.0,78.0,23.0,麦克斯韦
390c9a894acd,6,1,83,14.0,83.0,14.0,双子
390c9a894acd,8,1,169,77.0,169.0,77.0,双子
39b331a5bc50,4,3,59,17.0,49.67,11.0,wanxiangchengguan
39b331a5bc50,5,16,98,54.0,70.62,29.75,wanxiangchengguan
39b331a5bc50,6,37,106,57.0,76.0,30.8,wanxiangchengguan
39b331a5bc50,7,18,125,61.0,92.06,39.35,wanxiangchengguan
39bd7db8afa5,7,2,66,25.0,63.5,19.0,noorder
39bd7db8afa5,8,2,86,34.0,83.5,30.0,noorder
3a07a0245b83,5,1,68,27.0,68.0,27.0,ddxy
3a07a0245b83,6,2,104,38.0,90.0,36.5,ddxy
3bdf301973af,4,3,70,20.0,66.33,16.67,海贼王
3bdf301973af,5,8,76,38.0,68.75,27.62,海贼王
3bdf301973af,6,19,104,54.0,83.74,35.47,海贼王
3bdf301973af,7,7,99,39.0,81.86,30.0,海贼王
3bdf301973af,8,1,64,25.0,64.0,25.0,海贼王
3bdf301973af,9,2,84,48.0,79.0,39.0,海贼王
42379d275bbe,7,1,70,23.0,70.0,23.0,suyiteng
42379d275bbe,9,1,78,46.0,78.0,46.0,suyiteng
45a14879585d,6,1,60,16.0,60.0,16.0,华雄
45a14879585d,7,1,70,16.0,70.0,16.0,华雄
45a14879585d,9,1,98,28.0,98.0,28.0,华雄
4c30e054df22,7,1,110,36.0,110.0,36.0,ws14159
4c30e054df22,9,1,94,29.0,94.0,29.0,ws14159
4d162aaeb27a,3,1,51,13.0,51.0,13.0,文远
4d162aaeb27a,4,1,63,19.0,63.0,19.0,文远
4d162aaeb27a,5,3,72,29.0,63.33,26.0,文远
4d162aaeb27a,6,9,100,39.0,78.67,30.22,文远
4d162aaeb27a,7,9,173,106.0,104.22,49.44,文远
4db643ee2548,10,1,69,28.0,69.0,28.0,饽饽
4db643ee2548,11,1,85,46.0,85.0,46.0,饽饽
5227c4dc32ab,8,2,103,44.0,94.0,32.5,妹控
52a7759f9f57,6,7,77,36.0,61.86,23.0,红茶
52a7759f9f57,7,2,85,34.0,75.0,29.5,红茶
52c1c5cbcd66,3,2,34,17.0,30.5,17.0,沐雨橙风
52c1c5cbcd66,4,16,63,32.0,49.81,18.88,沐雨橙风
52c1c5cbcd66,5,86,98,49.0,62.48,25.88,沐雨橙风
52c1c5cbcd66,6,89,123,63.0,74.43,34.2,沐雨橙风
52c1c5cbcd66,7,11,146,71.0,87.73,39.27,沐雨橙风
53f4723aa02b,4,3,76,27.0,63.0,25.0,yukikaze
53f4723aa02b,5,3,84,43.0,80.0,33.33,yukikaze
53f4723aa02b,6,9,104,52.0,75.78,36.67,yukikaze
53f4723aa02b,7,1,87,37.0,87.0,37.0,yukikaze
55ef2445c90c,4,3,58,13.0,57.67,10.0,乙木
55ef2445c90c,5,11,87,27.0,70.82,16.45,乙木
55ef2445c90c,6,10,103,46.0,76.0,30.6,乙木
55ef2445c90c,7,3,110,37.0,89.0,36.0,乙木
55ef2445c90c,8,1,46,15.0,46.0,15.0,乙木
57bb13ed49f0,6,2,94,19.0,87.0,17.0,guapi
57bb13ed49f0,7,4,84,31.0,78.25,28.75,guapi
57bb13ed49f0,8,2,103,41.0,91.0,37.0,guapi
57bb13ed49f0,9,1,108,30.0,108.0,30.0,guapi
585f0dda8b6d,6,1,79,26.0,79.0,26.0,啦啦啦
585f0dda8b6d,7,3,99,56.0,77.67,31.33,啦啦啦
585f0dda8b6d,8,7,119,54.0,91.14,34.14,啦啦啦
585f0dda8b6d,9,3,157,66.0,136.67,56.0,啦啦啦
59c7524c4759,5,3,101,21.0,81.67,19.67,月色
59c7524c4759,6,2,110,49.0,106.5,41.5,月色
59c7524c4759,7,7,95,51.0,79.14,30.43,月色
59c7524c4759,8,8,132,62.0,104.38,48.0,月色
59c7524c4759,9,1,115,67.0,115.0,67.0,月色
59ce7a2bfade,6,1,70,44.0,70.0,44.0,白银
59ce7a2bfade,7,2,85,26.0,77.5,25.5,白银
59ce7a2bfade,8,1,37,,37.0,,白银
5a66d1149dc6,5,3,73,24.0,62.67,18.33,darisen
5a66d1149dc6,6,4,101,53.0,74.0,34.5,darisen
5a66d1149dc6,7,2,126,70.0,112.5,43.5,darisen
5a66d1149dc6,8,1,95,43.0,95.0,43.0,darisen
5a77942689b3,7,3,116,66.0,100.67,54.0,wrzzqg
5a77942689b3,8,1,100,63.0,100.0,63.0,wrzzqg
5a77942689b3,9,1,178,110.0,178.0,110.0,wrzzqg
5d35c7163f45,5,1,57,23.0,57.0,23.0,蓝蓝鹿
5d35c7163f45,6,1,64,25.0,64.0,25.0,蓝蓝鹿
5d35c7163f45,7,3,78,36.0,74.0,33.0,蓝蓝鹿
5d35c7163f45,8,14,100,61.0,86.29,39.36,蓝蓝鹿
5d35c7163f45,9,2,122,47.0,103.0,41.5,蓝蓝鹿
5e1f49e741d3,5,5,84,24.0,66.2,21.4,月姬
5e1f49e741d3,6,22,96,33.0,71.32,25.91,月姬
5e1f49e741d3,7,54,119,48.0,75.89,28.57,月姬
5e1f49e741d3,8,43,141,55.0,94.53,36.6,月姬
5e1f49e741d3,9,6,112,48.0,96.17,40.5,月姬
5e3b92010006,8,2,106,42.0,88.0,41.5,reignslei
5f2df2684d33,7,3,96,47.0,72.67,37.33,小z
5f2df2684d33,8,2,91,47.0,88.0,46.5,小z
5f2df2684d33,9,3,117,54.0,98.0,53.0,小z
5f2df2684d33,10,2,125,52.0,98.0,52.0,小z
5f8b2f92bb1b,6,1,88,43.0,88.0,43.0,522630
5f8b2f92bb1b,7,1,121,79.0,121.0,79.0,522630
62b235a5c382,8,2,48,72.0,-616.5,46.0,hqlf
62b235a5c382,9,1,-446,76.0,-446.0,76.0,hqlf
63805e509cbe,5,7,96,45.0,77.0,31.43,九方蠡
63805e509cbe,6,12,103,49.0,84.83,30.73,九方蠡
63805e509cbe,7,1,128,60.0,128.0,60.0,九方蠡
63a95e5e4dc8,4,4,72,15.0,65.0,14.25,12345
63a95e5e4dc8,5,10,90,22.0,73.2,16.6,12345
63a95e5e4dc8,6,30,123,49.0,74.3,20.23,12345
63a95e5e4dc8,7,29,128,62.0,88.38,27.07,12345
63a95e5e4dc8,8,13,110,55.0,94.38,33.69,12345
657101df5f14,5,12,88,37.0,61.92,25.42,听风聆雨
657101df5f14,6,22,96,57.0,71.0,39.36,听风聆雨
657101df5f14,7,7,124,49.0,92.29,39.14,听风聆雨
657101df5f14,8,1,73,49.0,73.0,49.0,听风聆雨
657101df5f14,9,1,79,32.0,79.0,32.0,听风聆雨
65d0504e9e7c,7,1,88,37.0,88.0,37.0,一灯
65d0504e9e7c,8,1,100,66.0,100.0,66.0,一灯
65d0504e9e7c,10,1,89,29.0,89.0,29.0,一灯
67e848d68eac,6,3,74,43.0,61.33,30.0,tmbisheng
67e848d68eac,7,5,89,44.0,77.6,36.2,tmbisheng
67e848d68eac,8,7,103,57.0,92.71,47.57,tmbisheng
69215eb418a5,4,11,134,75.0,71.55,30.91,钝钝
69215eb418a5,5,43,126,66.0,86.14,39.14,钝钝
69215eb418a5,6,40,182,98.0,106.88,55.12,钝钝
69215eb418a5,7,9,226,133.0,131.89,66.33,钝钝
69215eb418a5,8,1,156,71.0,156.0,71.0,钝钝
69e4b39d9a1e,5,1,72,19.0,72.0,19.0,地球弹射装置
69e4b39d9a1e,6,3,67,44.0,61.0,40.0,地球弹射装置
69e4b39d9a1e,7,9,114,65.0,87.44,47.56,地球弹射装置
69e4b39d9a1e,8,9,126,75.0,99.67,57.89,地球弹射装置
6bcbb72b2696,8,3,105,47.0,85.0,34.67,joe
6c622219e074,7,3,81,47.0,74.0,44.67,1h111
6c622219e074,8,1,115,38.0,115.0,38.0,1h111
6c622219e074,9,1,155,78.0,155.0,78.0,1h111
6d226d2ca405,4,2,62,21.0,58.5,20.5,Automuen
6d226d2ca405,5,3,67,24.0,58.33,21.67,Automuen
6d226d2ca405,6,3,84,63.0,69.0,38.67,Automuen
6d226d2ca405,7,1,72,24.0,72.0,24.0,Automuen
6d226d2ca405,8,1,127,57.0,127.0,57.0,Automuen
702c931a9f7c,7,2,76,35.0,73.0,31.0,天天是好天
702c931a9f7c,8,6,155,80.0,112.67,55.5,天天是好天
702c931a9f7c,9,9,137,63.0,87.89,44.0,天天是好天
702c931a9f7c,10,3,199,90.0,152.0,74.67,天天是好天
708d7d1a4377,9,3,93,49.0,82.33,44.67,jerry81333
708d7d1a4377,11,1,98,41.0,98.0,41.0,jerry81333
70c3f7cfe1eb,8,2,89,31.0,63.0,31.0,xixo
723b8d61b666,5,6,63,31.0,55.5,26.0,书记
723b8d61b666,6,40,86,45.0,67.92,27.68,书记
723b8d61b666,7,88,120,70.0,79.31,34.39,书记
723b8d61b666,8,82,149,66.0,100.07,43.72,书记
723b8d61b666,9,14,157,72.0,121.21,52.93,书记
7250ced91fd6,8,1,79,30.0,79.0,30.0,sanduo
7250ced91fd6,9,1,78,33.0,78.0,33.0,sanduo
772804213466,4,3,86,47.0,67.67,30.67,useful
772804213466,5,9,92,41.0,71.67,29.11,useful
772804213466,6,18,127,64.0,92.17,40.17,useful
772804213466,7,8,143,62.0,97.62,40.0,useful
772804213466,8,1,83,58.0,83.0,58.0,useful
772804213466,9,2,78,43.0,73.0,32.5,useful
7c7e5eaba90f,5,1,50,14.0,50.0,14.0,不如原神
7c7e5eaba90f,6,1,73,26.0,73.0,26.0,不如原神
7c7e5eaba90f,7,1,80,29.0,80.0,29.0,不如原神
7d4b2bcea3b2,4,2,43,20.0,40.5,19.0,fenyue
7d4b2bcea3b2,5,4,76,30.0,61.0,25.0,fenyue
7d4b2bcea3b2,6,1,87,34.0,87.0,34.0,fenyue
7e81b837a36a,4,2,66,24.0,58.5,20.5,水鬼
7e81b837a36a,5,35,112,58.0,70.89,33.59,水鬼
7e81b837a36a,6,37,156,94.0,96.51,49.65,水鬼
7e81b837a36a,7,19,172,77.0,111.0,58.58,水鬼
7e81b837a36a,8,1,477,341.0,477.0,341.0,水鬼
8068f8baa976,4,14,75,23.0,58.57,15.43,raaaay
8068f8baa976,5,46,99,51.0,67.0,24.89,raaaay
8068f8baa976,6,104,145,57.0,80.98,32.07,raaaay
8068f8baa976,7,31,178,91.0,100.19,42.32,raaaay
8068f8baa976,8,1,147,109.0,147.0,109.0,raaaay
823f1dbb2191,5,2,68,20.0,63.0,19.5,眼镜胡地
823f1dbb2191,6,25,84,33.0,66.8,24.12,眼镜胡地
823f1dbb2191,7,46,115,44.0,81.07,30.0,眼镜胡地
823f1dbb2191,8,37,150,60.0,102.24,37.81,眼镜胡地
823f1dbb2191,9,6,132,53.0,117.67,37.83,眼镜胡地
824d9ae64cc6,7,1,61,27.0,61.0,27.0,愚者
824d9ae64cc6,8,1,51,21.0,51.0,21.0,愚者
824d9ae64cc6,9,1,55,21.0,55.0,21.0,愚者
8367faa6305f,5,1,82,14.0,82.0,14.0,zhangcheng
8367faa6305f,9,1,86,37.0,86.0,37.0,zhangcheng
84892b708d36,5,1,60,,60.0,,wjy吴才
84892b708d36,6,4,96,38.0,68.75,27.75,wjy吴才
84892b708d36,7,2,101,46.0,94.5,39.5,wjy吴才
84892b708d36,8,1,98,35.0,98.0,35.0,wjy吴才
89f1c507bebd,8,1,84,50.0,84.0,50.0,45
89f1c507bebd,10,1,97,39.0,97.0,39.0,45
8becbf6c6dd2,5,2,53,25.0,47.5,20.5,无情的命运
8becbf6c6dd2,6,4,98,60.0,83.5,42.5,无情的命运
8becbf6c6dd2,7,3,97,49.0,73.0,28.33,无情的命运
8c4980d6b1cb,5,4,66,28.0,53.25,21.25,匆匆
8c4980d6b1cb,6,3,81,42.0,71.67,30.67,匆匆
8c4980d6b1cb,7,2,94,37.0,61.5,28.0,匆匆
8c4980d6b1cb,8,1,116,57.0,116.0,57.0,匆匆
8da7d2cdd0a6,5,1,56,25.0,56.0,25.0,童话
8da7d2cdd0a6,6,2,50,19.0,47.0,18.5,童话
8f2e5eac0cda,7,2,62,22.0,61.0,18.5,nitrene
8f2e5eac0cda,8,1,96,36.0,96.0,36.0,nitrene
8fb6a4df89a4,6,4,78,32.0,59.75,28.0,羊羊队立大功
8fb6a4df89a4,7,2,91,29.0,80.5,28.5,羊羊队立大功
8fb6a4df89a4,8,1,75,40.0,75.0,40.0,羊羊队立大功
9007426e7f53,4,6,79,30.0,69.33,23.17,Misaki
9007426e7f53,5,48,143,78.0,79.21,36.1,Misaki
9007426e7f53,6,73,141,71.0,93.33,43.04,Misaki
9007426e7f53,7,18,164,87.0,121.5,53.89,Misaki
9007426e7f53,8,1,127,85.0,127.0,85.0,Misaki
91b9bfa9b05e,7,2,56,24.0,55.5,20.0,菜丁
91b9bfa9b05e,8,1,75,19.0,75.0,19.0,菜丁
9313f0dd5768,7,1,89,45.0,89.0,45.0,mooncity2
9313f0dd5768,8,3,105,63.0,88.0,46.33,mooncity2
93833d8b6163,7,1,55,25.0,55.0,25.0,wmsnow
93833d8b6163,8,1,84,43.0,84.0,43.0,wmsnow
93833d8b6163,9,1,87,29.0,87.0,29.0,wmsnow
9389aeb858c3,7,1,45,26.0,45.0,26.0,requiemia
9389aeb858c3,8,1,53,30.0,53.0,30.0,requiemia
9389aeb858c3,9,1,67,37.0,67.0,37.0,requiemia
966fec459c13,6,1,47,10.0,47.0,10.0,hongquan
966fec459c13,7,2,88,28.0,75.5,21.0,hongquan
966fec459c13,8,7,96,37.0,81.57,23.43,hongquan
966fec459c13,9,4,106,48.0,92.75,39.25,hongquan
999c744cd7e3,5,1,66,25.0,66.0,25.0,业问
999c744cd7e3,6,2,93,47.0,88.5,38.5,业问
999c744cd7e3,7,7,107,61.0,90.29,45.86,业问
9bd35e1d778b,10,2,84,49.0,78.0,46.0,ffz36
9bd35e1d778b,11,1,142,46.0,142.0,46.0,ffz36
9c67be74271c,7,3,70,21.0,64.33,17.33,NPCXiGua
9c67be74271c,8,3,84,46.0,74.67,36.0,NPCXiGua
9c67be74271c,9,3,90,50.0,77.67,39.33,NPCXiGua
9cb246307229,4,1,65,27.0,65.0,27.0,ymlalala
9cb246307229,6,3,80,49.0,71.33,36.33,ymlalala
9cb246307229,7,1,62,28.0,62.0,28.0,ymlalala
9cccf3a9b11b,4,11,85,50.0,58.55,20.82,yz
9cccf3a9b11b,5,92,102,65.0,70.27,30.63,yz
9cccf3a9b11b,6,88,157,86.0,88.93,39.74,yz
